1  fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
199                    |            |                   | 84VVFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD38                  | EVDC

200                    |            |                   | 84VTFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD39                  | EVDC

201                    |            |                   | 84VSFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD40                  | EVDC

202                    |            |                   | 84VWFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD41                  | EVDC

203                    |            |                   | 84VXFK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD42                  | EVDC

204                    |            |                   | HHXHHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD43                  | EVDC

205                    |            |                   | HHXVHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD44                  | EVDC

206  00080274          | PUR0846848 | 7Z01D42           | 7Z01D42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD45                  | EVDC

207  00081521          | PUR0846848 | 7YZXC42           | 7YZXC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD46                  | EVDC

208  00081520          | PUR0846848 | 7YZ1D42           | 7YZ1D42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD47                  | EVDC

209  N0031655          | PUR0849358 | 7ZS5D42           | 7ZS5D42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD48                  | EVDC

210  00080273          | PUR0846848 | 7YZZC42           | 7YZZC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD49                  | EVDC

211  00080219          | PUR0886039 | 5XQ4V52           | 5XQ4V52                                                        | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N02                | EVDC

212  N0031698          | PUR0886039 | 5XQ5V52           | 5XQ5V52                                                        | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N03                | EVDC

213                    |            |                   | 12S3HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVITCSPDC                     | EVDC

214  00088059          | PUR1333389 | 4GS9HQ2           | 4GS9HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVNBMS01                      | EVDC

215  00088060          | PUR1333389 | 4GRHHQ2           | 4GRHHQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVNBMS02                      | EVDC

216  00088058          | PUR1333389 | 4GSCHQ2           | 4GSCHQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVNBMSTR01                    | EVDC

217  00080199          | PUR0974187 | 7N98FB2           | 7N98FB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVPUMHOST                     | EVDC

218  00080323          | PUR0715639 | HP7YK02           | HP7YK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACP10                      | EVDC

219                    |            |                   | 6ZSRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACP11                      | EVDC

220                    |            |                   | 6ZSSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACP12                      | EVDC

221                    |            |                   | 6ZRSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACP13                      | EVDC

222                    |            |                   | 6ZVQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACP14                      | EVDC

223                    |            |                   | HP6TK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACP6                       | EVDC

224  00080320          | PUR0715639 | HP9TK02           | HP9TK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACP7                       | EVDC

225  00080321          | PUR0715639 | HP8XK02           | HP8XK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACP8                       | EVDC

226                    |            |                   | HP6WK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACP9                       | EVDC

227  00080331          | PUR0783342 | D357P22           | D357P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR07                      | EVDC

228  00080332          | PUR0783342 | D345P22           | D345P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR08                      | EVDC

229                    |            |                   | D354P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR10                      | EVDC

230                    |            |                   | 6ZVSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR11                      | EVDC

231                    |            |                   | 6ZWRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR12                      | EVDC

232                    |            |                   | 6ZWQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR13                      | EVDC

233                    |            |                   | 6ZTRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR14                      | EVDC

234                    |            |                   | 6ZSQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR15                      | EVDC

235                    |            |                   | 6ZRQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACR16                      | EVDC

236  00080330          | PUR0783342 | D337P22           | D337P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR6                       | EVDC

237  00084691          | PUR0783342 | D355P22           | D355P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR9                       | EVDC

238  00083979          | PUR0783342 | D355P22           | D355P22                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACR9                       | EVDC

239  00080317          | PUR0715561 | HP5SK02           | HP5SK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACT10                      | EVDC

240  00080318          | PUR0715561 | HP5ZK02           | HP5ZK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACT11                      | EVDC

241  00081501          | PUR0988321 | G42GGB2           | G42GGB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVRACT12                      | EVDC

242  00081500          | PUR0988321 | G42HGB2           | G42HGB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVRACT13                      | EVDC

243  00081499          | PUR0988321 | G42JGB2           | G42JGB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVRACT14                      | EVDC

244                    |            |                   | 6ZTSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT15                      | EVDC

245                    |            |                   | 6ZVRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT16                      | EVDC

246                    |            |                   | 6ZTQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT17                      | EVDC

247                    |            |                   | 6ZRRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT18                      | EVDC

248                    |            |                   | 6ZQSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT19                      | EVDC

249                    |            |                   | 6ZNQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT20                      | EVDC

250                    |            |                   | 6ZNSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT21                      | EVDC

251                    |            |                   | 6ZQQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | EVRACT22                      | EVDC

252  00080314          | PUR0715561 | HP5WK02           | HP5WK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACT7                       | EVDC

253  00080315          | PUR0715561 | HP5XK02           | HP5XK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACT8                       | EVDC

254  00080316          | PUR0715561 | HP6SK02           | HP6SK02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVRACT9                       | EVDC

255                    |            |                   | BVQDS52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX01                    | EVDC

256                    |            |                   | BVQCS52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX02                    | EVDC

257                    |            |                   | BVQFS52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX03                    | EVDC

258                    |            |                   | 7DWYPD2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX04                    | EVDC

259                    |            |                   | 7DWZPD2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX05                    | EVDC

260  00084649          | PUR1323640 | HM0CXQ2           | HM0CXQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX06                    | EVDC

261                    |            |                   | H7R5XQ1                                                        | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS01              | EVDC

262  00088061          | PUR1323640 | 92NZCS2           | 92NZCS2                                                        | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX06-DAS02              | EVDC

263  00084648          | PUR1323640 | HM0DXQ2           | HM0DXQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX07                    | EVDC

264  00084650          | PUR1323640 | HNQ6XQ2           | HNQ6XQ2                                                        | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS01              | EVDC

265  00084651          | PUR1323640 | H7R8XQ2           | H7R8XQ2                                                        | DELL          | POWERVAULT MD1420   | SERVER   | EVSPLIDX07-DAS02              | EVDC

266  00080313          | PUR0695223 | 3Z5BH02           | 3Z5BH02                                                        | DELL          | POWEREDGE R620      | SERVER   | EVSPLIDX91                    | EVDC

267  00084644          | PUR1326725 | 3CV81Q2           | 3CV81Q2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVSPLSES01                    | EVDC

268                    |            |                   | BVQ8S52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC01                    | EVDC

269                    |            |                   | BVPMS52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVSPLSRC02                    | EVDC

270  N0031694          | PUR1001739 | HHNZHB2           | HHNZHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVVSRX01                      | EVDC

271  00081486          | PUR1001739 | HHP0JB2           | HHP0JB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVVSRX02                      | EVDC

272  00084645          | PUR1333388 | 4JN9HQ2           | 4JN9HQ2                                                        | DELL          | POWEREDGE R740XD    | SERVER   | EVVSRX03                      | EVDC

273  00084413          | PUR1333388 | 4JMHHQ2           | 4JMHHQ2                                                        | DELL          | POWEREDGE R740XD    | SERVER   | EVVSRX04                      | EVDC

274  00080195          | PUR0814460 | 1HFY842           | 1HFY842                                                        | DELL          | POWEREDGE R620      | SERVER   | FFRATM1PRD                    | EVDC

275                    |            |                   | JCPPHQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | FFRATM1PRD2                   | EVDC

276  00080196          | PUR0868095 | 4TK3S52           | 4TK3S52                                                        | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP07                   | EVDC

277  00080197          | PUR0868095 | 4TK4S52           | 4TK4S52                                                        | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP08                   | EVDC

278  00080198          | PUR0868095 | 4TK5S52           | 4TK5S52                                                        | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP09                   | EVDC

279  N0031819          | PUR1103202 | 82N0CH2           | 82N0CH2                                                        | DELL          | POWEREDGE R630      | SERVER   | NUBIEVAPP12                   | EVDC

280                    |            |                   | 9178VR1                                                        | DELL          | POWEREDGE R710      | SERVER   | NUFMZENMASTER                 | EVDC

281                    |            |                   | 9179VR1                                                        | DELL          | POWEREDGE R710      | SERVER   | NUFMZENSLAVE                  | EVDC

282                    |            |                   | CZ3920T4Z3                                                     | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST06                   | EVDC

283                    |            |                   | CZ3920T4Z5                                                     | DELL          | POWEREDGE R720      | SERVER   | NUQVMHOST07                   | EVDC

284  00079281          | PUR1125517 | G4S7HH2           | G4S7HH2                                                        | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRD                    | EVDC

285  00079279          | PUR1125517 | G4S5HH2           | G4S5HH2                                                        | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRDDATE                | EVDC

286  00079282          | PUR1125517 | G4S6HH2           | G4S6HH2                                                        | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTST                    | EVDC

287  00079280          | PUR1125517 | G4RBHH2           | G4RBHH2                                                        | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTSTDAT                 | EVDC

288  N0019742          | PUR0765232 | 175LN22           | 175LN22                                                        | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APP                   | EVDC

289  N0031720          | PUR0750793 | CV4MW12           | CV4MW12                                                        | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APPTEST               | EVDC

290  N0031723          | PUR0765232 | 175KN22           | 175KN22                                                        | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DAT                   | EVDC

291  N0031721          | PUR0750793 | CV3PW12           | CV3PW12                                                        | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DATTEST               | EVDC

292                    |            |                   | 10V0V52                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP01A                     | EVDC

293  00081498          | PUR0883531 | 10TYT52           | 10TYT52                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP02A                     | EVDC

294  00081497          | PUR0883531 | 10TXT52           | 10TXT52                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP03A                     | EVDC

295  N0031696          | PUR0883531 | 10TZT52           | 10TZT52                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP04A                     | EVDC

296                    |            |                   | 8TFH333                                                        | DELL          | POWEREDGE R640      | SERVER   | VMBKUP05A                     | EVDC

297                    |            |                   | 8WYXHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP05A-OLD                 | EVDC

298  00081519          | PUR0864573 | GF2GR52           | GF2GR52                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP06                      | EVDC

299                    |            |                   | 8WYWHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | VMBKUP07                      | EVDC

300                    |            |                   | 14HDDW2                                                        | DELL          | POWEREDGE R640      | SERVER   | VMBKUP08A                     | EVDC

301                    |            |                   | 14J7DW2                                                        | DELL          | POWEREDGE R640      | SERVER   | VMBKUP09A                     | EVDC

302                    |            |                   | FC6IS160900021                                                 | EMC           | ISILON A100         | SERVER   | EVISILON01-N6                 | EVDC

303                    |            |                   | MXQ93704QX                                                     | HP            | PROLIANT DL360      | SERVER   | EVCOP1                        | EVDC

304                    |            |                   | MKQ93704QK                                                     | HP            | PROLIANT DL360      | SERVER   | EVCOP2                        | EVDC

305                    |            |                   | MXQ93704QZ                                                     | HP            | PROLIANT DL360      | SERVER   | EVCOP3                        | EVDC

306                    |            |                   | ACLGRS8                                                        | PELCO         | ENDURA NVR5124-6000 | SERVER   | POLICE VIDEO                  | EVDC

307                    |            |                   | 35689 16223                                                    | QUALYS        | QUALYSGUARD         | SERVER   | QUALYS-EVANSTON               | EVDC

308                    |            |                   | 9855182                                                        | CODE42        | S2-48               | STORAGE  | BACKUP3                       | EVDC

309                    |            |                   | 9867182                                                        | CODE42        | S2-48               | STORAGE  | BACKUP5                       | EVDC

310                    |            |                   | C7KKYV1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03A             | EVDC

311                    |            |                   | C7JMYV1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03B             | EVDC

312                    |            |                   | C7KLYV1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03C             | EVDC

313                    |            |                   | FQH4FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01A             | EVDC

314                    |            |                   | FQG5FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01B             | EVDC

315                    |            |                   | FQH5FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01C             | EVDC

316                    |            |                   | FQF5FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02A             | EVDC

317  00079107          | PUR0596893 | 36CWGX1           | 36CWGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02B             | EVDC

318  00079108          | PUR0596893 | 36DTGX1           | 36DTGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02C             | EVDC

319  00079105          | PUR0596893 | 36CVGX1           | 36CVGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03A             | EVDC

320  00079106          | PUR0596893 | 36CTGX1           | 36CTGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03B             | EVDC

321                    |            |                   | FQF4FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03C             | EVDC

322                    |            |                   | FQF6FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04A             | EVDC

323                    |            |                   | FQG4FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04B             | EVDC

324                    |            |                   | FQG6FX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04C             | EVDC

325  N0031600          | PUR0737189 | 4BCMV12           | 4BCMV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05A             | EVDC

326  N0031586          | PUR0737189 | 4BCLV12           | 4BCLV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05B             | EVDC

327  N0031590          | PUR0737189 | 4BDKV12           | 4BDKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05C             | EVDC

328  N0031588          | PUR0737189 | 4BCKV12           | 4BCKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06A             | EVDC

329  N0031589          | PUR0737189 | 4BDLV12           | 4BDLV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06B             | EVDC

330  N0031587          | PUR0737189 | 4BDMV12           | 4BDMV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06C             | EVDC

331  00077000          | PUR0335239 | 5MZLXQ1           | 5MZLXQ1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01A                  | EVDC

332  00077001          | PUR0335239 | 5MZQXQ1           | 5MZQXQ1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01B                  | EVDC

333  00077983          | PUR0423266 | 2F0ZMS1           | 2F0ZMS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS01C                  | EVDC

334  00077003          | PUR0335239 | 5MZNXQ1           | 5MZNXQ1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02A                  | EVDC

335  00077002          | PUR0335239 | 5MZPXQ1           | 5MZPXQ1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02B                  | EVDC

336  00077985          | PUR0423266 | 2F10NS1           | 2F10NS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS02C                  | EVDC

337  00077990          | PUR0423266 | DJYYLS1           | DJYYLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04A                  | EVDC

338  00077988          | PUR0423266 | DJZWLS1           | DJZWLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04B                  | EVDC

339  00078003          | PUR0423266 | 2F0VMS1           | 2F0VMS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04C                  | EVDC

340  00077989          | PUR0423266 | DJYXLS1           | DJYXLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04D                  | EVDC

341                    |            |                   | J3D6T52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX01-DAS01              | EVDC

342                    |            |                   | J3DDT52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX01-DAS02              | EVDC

343                    |            |                   | J3D9T52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX02-DAS01              | EVDC

344                    |            |                   | J3DJT52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX02-DAS02              | EVDC

345                    |            |                   | J3D8T52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX03-DAS01              | EVDC

346                    |            |                   | J3DHT52                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX03-DAS02              | EVDC

347                    |            |                   | 6CSVPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX04-DAS01              | EVDC

348                    |            |                   | 6CT1QD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX04-DAS02              | EVDC

349                    |            |                   | 6CSWPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX05-DAS01              | EVDC

350                    |            |                   | 6CSYPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX05-DAS02              | EVDC

351  00080312          | PUR0695223 | 2QQ9H02           | 2QQ9H02                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | EVSPLUNKDISK                  | EVDC

352  00080223          | PUR0883531 | 1051V52           | 1051V52                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP01A-DAS                 | EVDC

353  00080222          | PUR0883531 | 1050V52           | 1050V52                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP02A-DAS                 | EVDC

354  N0031697          | PUR0883531 | 104ZT52           | 104ZT52                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP03A-DAS                 | EVDC

355  00080221          | PUR0883531 | 104YT52           | 104YT52                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP04A-DAS                 | EVDC

356                    |            |                   | 98GZHK2                                                        | DELL          | POWERVAULT MD1400   | STORAGE  | VMBKUP05A-DAS-OLD             | EVDC

357                    |            |                   | DQYB3333                                                       | DELL          | POWERVAULT MD1400   | STORAGE  | VMBKUP05A-DAS01               | EVDC

358  00081518          | PUR0864573 | D3JCR52           | D3JCR52                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP06-DAS                  | EVDC

359                    |            |                   | 98H1JK2                                                        | DELL          | POWERVAULT MD1400   | STORAGE  | VMBKUP07-DAS                  | EVDC

360                    |            |                   | 15V9DW2                                                        | DELL          | MD1400              | STORAGE  | VMBKUP08A-DAS01               | EVDC

361                    |            |                   | 15VBDW2                                                        | DELL          | POWERVAULT MD1400   | STORAGE  | VMBKUP09A-DAS01               | EVDC

362                    |            |                   | JWXNM181900260/182800243/181900260/182800243                   | EMC           | ISILON H400         | STORAGE  | EVISILON 19  20  21  22       | EVDC

363                    |            |                   | JWXNM184200947/JWXNM184200733                                  | EMC           | ISILON H400         | STORAGE  | EVISILON 23 AND 24            | EVDC

364                    |            |                   | JWXNM184200734/JWXNM184200711                                  | EMC           | ISILON H400         | STORAGE  | EVISILON 27 AND 28            | EVDC

365                    |            |                   | JWXNM184900865/184900841/184900903/184900874                   | EMC           | ISILON H400         | STORAGE  | EVISILON 31  32  33  34       | EVDC

366                    |            |                   | JWXNM184900865/JWXNM184900841                                  | EMC           | ISILON H400         | STORAGE  | EVISILON 35 AND 36            | EVDC

367                    |            |                   |                                                                | EMC           | ISILON H400         | STORAGE  | EVISILON 37  38  39  40       | EVDC

368                    |            |                   |                                                                | EMC           | ISILON H400         | STORAGE  | EVISILON 37  38  39  40       | EVDC

369                    |            |                   | SN400-201325-0274                                              | EMC           | ISILON X400         | STORAGE  | EVISILON01-N1                 | EVDC

370                    |            |                   | SN400-201325-0275                                              | EMC           | ISILON X400         | STORAGE  | EVISILON01-N2                 | EVDC

371                    |            |                   | SN400-201325-0276                                              | EMC           | ISILON X400         | STORAGE  | EVISILON01-N3                 | EVDC

372                    |            |                   | SN400-301410-0305                                              | EMC           | ISILON X400         | STORAGE  | EVISILON01-N4                 | EVDC

373  00079269          | PUR0967072 | SN400-301610-0046 | SN400-301610-0046                                              | EMC           | ISILON X400         | STORAGE  | EVISILON01-N5                 | EVDC

374                    |            |                   | SX400-301233-0357                                              | EMC           | ISILON X400         | STORAGE  | EVISILON02-N1                 | EVDC

375                    |            |                   | SX400-301243-0120                                              | EMC           | ISILON X400         | STORAGE  | EVISILON02-N2                 | EVDC

376                    |            |                   | SX400-301233-0355                                              | EMC           | ISILON X400         | STORAGE  | EVISILON02-N3                 | EVDC

377                    |            |                   | SX400-301409-0146                                              | EMC           | ISILON X400         | STORAGE  | EVISILON02-N4                 | EVDC

378                    |            |                   | SN400-201433-0115                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N1                 | EVDC

379  N0031832          | PUR1078966 | JWXYE164600005    | JWXYE164600005                                                 | EMC           | ISILON X400         | STORAGE  | EVISILON03-N10                | EVDC

380  N0031834          | PUR1078966 | JWXYE164600094    | JWXYE164600094                                                 | EMC           | ISILON X400         | STORAGE  | EVISILON03-N11                | EVDC

381  N0031857          | PUR1179611 | JWXYE172200019    | JWXYE172200019                                                 | EMC           | ISILON X410         | STORAGE  | EVISILON03-N12                | EVDC

382  N0031858          | PUR1179611 | JWXYE172200022    | JWXYE172200022                                                 | EMC           | ISILON X410         | STORAGE  | EVISILON03-N13                | EVDC

383                    |            |                   | JWXYE172100026                                                 | EMC           | ISILON X410         | STORAGE  | EVISILON03-N14                | EVDC

384  N0031860          | PUR1179611 | JWXYE172200017    | JWXYE172200017                                                 | EMC           | ISILON X410         | STORAGE  | EVISILON03-N15                | EVDC

385                    |            |                   | FCNYE181400028                                                 | EMC           | ISILON X410         | STORAGE  | EVISILON03-N18                | EVDC

386                    |            |                   | SN400-201433-0118                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N2                 | EVDC

387                    |            |                   | SN400-201433-0117                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N3                 | EVDC

388                    |            |                   | SN400-301525-0053                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N4                 | EVDC

389                    |            |                   | SN400-301543-0084                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N5                 | EVDC

390                    |            |                   | SN400-301546-0166                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N6                 | EVDC

391                    |            |                   | SN400-301543-0068                                              | EMC           | ISILON X400         | STORAGE  | EVISILON03-N7                 | EVDC

392                    |            |                   | JAMYE162200157                                                 | EMC           | ISILON X400         | STORAGE  | EVISILON03-N8                 | EVDC

393  N0031831          | PUR1078966 | JWXYE164600058    | JWXYE164600058                                                 | EMC           | ISILON X400         | STORAGE  | EVISILON03-N9                 | EVDC

394                    |            |                   | 7809049                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 2               | EVDC

395                    |            |                   | 7809048                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 3               | EVDC

396                    |            |                   | 7809041                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 4               | EVDC

397                    |            |                   | 7809035                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 5               | EVDC

398                    |            |                   | 7808463                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-3MGMT                  | EVDC

399                    |            |                   | 7872448                                                        | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 2          | EVDC

