1  fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 

21  00081504          | PUR0883513 | CQ5WT52           | CQ5WT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX28-215_28                | CHDC

22  00081496          | PUR0883513 | CQ5XT52           | CQ5XT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX29-215_28                | CHDC

23  00081503          | PUR0883513 | CQ6VT52           | CQ6VT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX30-215_28                | CHDC

24  00080267          | PUR0883513 | CQ5ZT52           | CQ5ZT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX31-215_28                | CHDC

25  00084456          | PUR1201612 | JP0HHK2           | JP0HHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD01                  | CHDC

26  00084455          | PUR1201612 | JP0HHL2           | JP0HHL2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD02                  | CHDC

27  00079389          | PUR1201612 | JP0HXK2           | JP0HXK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD03                  | CHDC

28                    |            |                   | 12R8HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | CHITCSPDC                     | CHDC

29                    |            |                   | 6ZPRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS10                      | CHDC

30                    |            |                   | 6ZQRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS11                      | CHDC

31                    |            |                   | 6ZPSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS12                      | CHDC

32                    |            |                   | 6ZPQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS13                      | CHDC

33                    |            |                   | 6ZNRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS14                      | CHDC

34                    |            |                   | D347P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS5                       | CHDC

35                    |            |                   | D356P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS6                       | CHDC

36  00080246          | PUR0783342 | D364P22           | D364P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS7                       | CHDC

37  00080245          | PUR0783342 | D346P22           | D346P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS8                       | CHDC

38  00080244          | PUR0783342 | D344P22           | D344P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS9                       | CHDC

39                    |            |                   | 7DXOQD2                                                        | DELL          | POWEREDGE R620      | SERVER   | CHSPLIDX04                    | CHDC

40                    |            |                   | 7DWXPD2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHSPLIDX05                    | CHDC

41  00078324          | PUR0427791 | 6MWJKS1           | 6MWJKS1                                                        | DELL          | POWEREDGE R610      | SERVER   | CHVMBKUP01                    | CHDC

42                    |            |                   | 8WYYHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVMBKUP01A                   | CHDC

43  00080239          | PUR1001739 | HHPGHB2           | HHPGHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVSRX01                      | CHDC

44  00080238          | PUR1001739 | HHPFHB2           | HHPFHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVSRX02                      | CHDC

45  00077226          | PUR0335217 | 7XL92R1           | 7XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS01A               | CHDC

