 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
                   |            |                   | HHXKHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX85
                   |            |                   | HHXXHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX86
                   |            |                   | HHXLHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX87
 00079352          | PUR1148114 | HLQCJH2           | HLQCJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N01
 00079351          | PUR1148114 | HLQXHH2           | HLQXHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N02
 00079350          | PUR1148114 | HLR0JH2           | HLR0JH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N03
 00084539          | PUR1148114 | HLQBJH2           | HLQBJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N04
 00079349          | PUR1148114 | HLQYHH2           | HLQYHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N05
 00079348          | PUR1148114 | HLQWHH2           | HLQWHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N06
                   |            |                   | HLQZHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N07
 00079346          | PUR1148114 | HLQDJH2           | HLQDJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N08
                   |            |                   | 5Y0XQP2                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N01-U39
                   |            |                   | 5Y0WQP2                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N02-U39
                   | PUR1521352 | 3CP9H13           | 3CP9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC0307N-P39
                   | PUR1523314 | 38W4H13           | 38W4H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N01-V34
                   | PUR1523314 | 38V9H13           | 38V9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N02-V34
                   | PUR1523314 | 38W3H13           | 38W3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N03-V34
                   | PUR1521352 | 3CQ4H13           | 3CQ4H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N04-P39
                   | PUR1521352 | 2CFYG13           | 2CFYG13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N05-P39
                   | PUR1521352 | 3CQ6H13           | 3CQ6H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N06-P39
                   | PUR1521352 | 3CQ8H13           | 3CQ8H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N01-V34
                   | PUR1521352 | 3CQ9H13           | 3CQ9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N02-V34
                   | PUR1521352 | 3CQ7H13           | 3CQ7H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N03-V34
                   | PUR1521352 | 3CQ3H13           | 3CQ3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N04-V34
                   | PUR1521352 | 3CR3H13           | 3CR3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N05-Q34
                   | PUR1521352 | 3CP8H13           | 3CP8H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N06-Q34
                   | PUR1521352 | 3CQ5H13           | 3CQ5H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N07-Q34
 00081517          | PUR0864605 | H17HR52           | H17HR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD31
 00081513          | PUR0864605 | H17JR52           | H17JR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD32
 00081512          | PUR0864605 | H17KR52           | H17KR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD33
 00081493          | PUR1001752 | HHPHHB2           | HHPHHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD34
 00081492          | PUR1001752 | HHPJHB2           | HHPJHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD35
 00079271          | PUR1167138 | HRK6GK2           | HRK6GK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD36
 00079273          | PUR1167138 | HRK7GK2           | HRK7GK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD37
                   |            |                   | 84VVFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD38
                   |            |                   | 84VTFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD39
                   |            |                   | 84VSFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD40
                   |            |                   | 84VWFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD41
                   |            |                   | 84VXFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD42
                   |            |                   | HHXHHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD43
                   |            |                   | HHXVHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD44
 00080274          | PUR0846848 | 7Z01D42           | 7Z01D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD45
 00081521          | PUR0846848 | 7YZXC42           | 7YZXC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD46
 00081520          | PUR0846848 | 7YZ1D42           | 7YZ1D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD47
 N0031655          | PUR0849358 | 7ZS5D42           | 7ZS5D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD48
