 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
                   |            |                   | FCH2040V0T9                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX01                    | EVDC
                   |            |                   | FCH2040V0CZ                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX02                    | EVDC
                   |            |                   | FCH2039V4FM                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX03                    | EVDC
                   |            |                   | FCH2117V0H9                                                    | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX04                    | EVDC
                   |            |                   | FCH1922V0EU                                                    | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX05                    | EVDC
                   |            |                   | 9L5L382                                                        | CODE42        | M1                  | SERVER   | BACKUP1                       | EVDC
 00085141          | PUR0881262 | C1HLT52           | C1HLT52                                                        | DELL          | R730                | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU | EVDC
                   |            |                   | 4N2GTK1                                                        | DELL          | POWEREDGE R610      | SERVER   | ANSEL                         | EVDC
 00080285          | PUR0670812 | 1CT7CZ1           | 1CT7CZ1                                                        | DELL          | POWEREDGE R620      | SERVER   | AVALON                        | EVDC
                   |            |                   | F2HXHX1                                                        | DELL          | POWEREDGE R620      | SERVER   | BIGBEND                       | EVDC
                   |            |                   | 236P182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COIPROD                       | EVDC
                   |            |                   | 235T182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COIPRODDATA                   | EVDC
                   |            |                   | 235S183                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COITEST                       | EVDC
                   |            |                   | 235V182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COITESTDATA                   | EVDC
                   |            |                   | 826MKB2                                                        | DELL          | POWEREDGE 1750      | SERVER   | ERATABLEAU                    | EVDC
                   |            |                   | DG12182                                                        | DELL          | POWEREDGE R630      | SERVER   | EVADSDC4                      | EVDC
 00079104          | PUR0447613 | 2JPN3V1           | 2JPN3V1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE                     | EVDC
 00079103          | PUR0447586 | BZNN3V1           | BZNN3V1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE2                    | EVDC
 00080220          | PUR0886039 | 5XQ3V52           | 5XQ3V52                                                        | DELL          | POWEREDGE R730XD    | SERVER   | EVAIRWAVE3                    | EVDC
 00077005          | PUR0335239 | 53NGXQ1           | 53NGXQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM01                    | EVDC
 00077004          | PUR0335239 | 53NJXQ1           | 53NJXQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM02                    | EVDC
 00078671          | PUR0527753 | 5G79ZV1           | 5G79ZV1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPDPM03                    | EVDC
 00079114          | PUR0596893 | 3YQTGX1           | 3YQTGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX01                    | EVDC
 00079112          | PUR0596893 | 3YQSGX1           | 3YQSGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX02                    | EVDC
 00079109          | PUR0596893 | 3YPVGX1           | 3YPVGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX03                    | EVDC
                   |            |                   | DRW48Y1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX04                    | EVDC
 N0031584          | PUR0737189 | 4CPJV12           | 4CPJV12                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX05                    | EVDC
 N0031585          | PUR0737189 | 4CPKV12           | 4CPKV12                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX06                    | EVDC
                   |            |                   | 4FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVCSPSFAST1                   | EVDC
                   |            |                   | 3FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVCSPSFAST2                   | EVDC
 00077977          | PUR0412979 | F1BFJS1           | F1BFJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPSSQL1                    | EVDC
 00077978          | PUR0412979 | F1BCJS1           | F1BCJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPSSQL2                    | EVDC
 00076580          | PUR0263482 | JHPMMN1           | JHPMMN1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVDSPDPM04                    | EVDC
                   |            |                   | 9SBJDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX15                       | EVDC
                   |            |                   | 9S9JDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX16                       | EVDC
                   |            |                   | 9S8JDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX17                       | EVDC
                   |            |                   | 9S8HDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX18                       | EVDC
 00080326          | PUR0737342 | 2KWMV12           | 2KWMV12                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX43                       | EVDC
 00080327          | PUR0737342 | 2KXJV12           | 2KXJV12                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX44                       | EVDC
 00081511          | PUR0846848 | 7YZVC42           | 7YZVC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX70                       | EVDC
 00080268          | PUR0846848 | 95FZC42           | 95FZC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX71                       | EVDC
 00080269          | PUR0846848 | 7Z02D42           | 7Z02D42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX72                       | EVDC
 00081510          | PUR0846848 | 7YZYC42           | 7YZYC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX73                       | EVDC
 00081515          | PUR0883513 | CQ60V52           | CQ60V52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX74                       | EVDC
 00081514          | PUR0883513 | CQ61V52           | CQ61V52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX75                       | EVDC
 00081516          | PUR0883513 | CQ5VT52           | CQ5VT52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX76                       | EVDC
 00081502          | PUR0883513 | CQ5YT52           | CQ5YT52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX77                       | EVDC
                   |            |                   | HHXJHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX82                       | EVDC
                   |            |                   | HHXWHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX83                       | EVDC
                   |            |                   | HHXGHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX84                       | EVDC
                   |            |                   | HHXKHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX85                       | EVDC
                   |            |                   | HHXXHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX86                       | EVDC
                   |            |                   | HHXLHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX87                       | EVDC
 00079352          | PUR1148114 | HLQCJH2           | HLQCJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N01                   | EVDC
 00079351          | PUR1148114 | HLQXHH2           | HLQXHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N02                   | EVDC
 00079350          | PUR1148114 | HLR0JH2           | HLR0JH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N03                   | EVDC
 00084539          | PUR1148114 | HLQBJH2           | HLQBJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N04                   | EVDC
 00079349          | PUR1148114 | HLQYHH2           | HLQYHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N05                   | EVDC
