1                name               |           model            |  asset_type  | serial_number 
102  KRESGEUG-RTR-2                   | N7K-SUP2E                  | ROUTERMODULE | JAE19160522

103  KRESGEUG-RTR-3                   | N7K-F248XP-25E             | ROUTERMODULE | JAF1705BETT

104  KRESGEUG-RTR-3                   | N7K-F248XP-25E             | ROUTERMODULE | JAF1738ABLG

105  KRESGEUG-RTR-3                   | N7K-SUP2E                  | ROUTERMODULE | JAE1916053X

106  KRESGEUG-RTR-3                   | N7K-SUP2E                  | ROUTERMODULE | JAE1915032D

107  KRESGEUG-RTR-3                   | N7K-M148GS-11L             | ROUTERMODULE | JAF1546BGPK

108  KRESGEUG-RTR-3                   | N7K-M108X2-12L             | ROUTERMODULE | JAF1551AGJM

109  KRESGEUG-RTR-3                   | N7K-M108X2-12L             | ROUTERMODULE | JAF1550BGNC

110  LEV-RTR-1                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1626AAMN

111  LEV-RTR-1                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGKH

112  LEV-RTR-1                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHE

113  LEV-RTR-1                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGGT

114  LEV-RTR-1                        | N7K-SUP2E                  | ROUTERMODULE | JAE1916051B

115  LEV-RTR-1                        | N7K-SUP2E                  | ROUTERMODULE | JAE19160514

116  LEV-RTR-1                        | N7K-F248XP-25E             | ROUTERMODULE | JAF1846AGGE

117  LEV-RTR-1                        | N7K-F248XP-25E             | ROUTERMODULE | JAF1703ASGL

118  LEV-RTR-1                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1625BBNN

119  LEV-RTR-10-CROWN                 | N7K-M108X2-12L             | ROUTERMODULE | JAF1624AHSB

120  LEV-RTR-10-CROWN                 | N7K-M148GS-11L             | ROUTERMODULE | JAF1626ANDF

121  LEV-RTR-10-CROWN                 | N7K-SUP2E                  | ROUTERMODULE | JAE1913053H

122  LEV-RTR-10-CROWN                 | N7K-SUP2E                  | ROUTERMODULE | JAE1914000T

123  LEV-RTR-10-CROWN                 | N7K-M148GS-11L             | ROUTERMODULE | JAF1622AMAG

124  LEV-RTR-10-CROWN                 | N7K-F248XP-25E             | ROUTERMODULE | JAF1735ATEC

125  LEV-RTR-10-CROWN                 | N7K-M108X2-12L             | ROUTERMODULE | JAF1626AGSC

126  LEV-RTR-2                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1625BBNM

