name,model,serial,ip,software,module_ip,module_num,firmware,hw,last_seen
COOK-1000A-ESW-4,WS-C3850-48P-L,FOC1740X006,10.100.6.97,DENALI 16.3.9,0.0.0.0,2,,V02,4/27/20 1:00
COOK-1000A-ESW-4,WS-C3850-48P-L,FOC1740U00C,10.100.6.97,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
COOK-1000A-ESW-4,WS-C3850-48P-L,FOC1739U0XJ,10.100.6.97,DENALI 16.3.9,0.0.0.0,4,,V02,4/27/20 1:00
COOK-1000A-ESW-4,WS-C3850-12X48U-L,FCW2141D104,10.100.6.97,DENALI 16.3.9,0.0.0.0,5,,V02,4/27/20 1:00
ENGLHRT-6-ESW-3,3850-STACK,FOC1828U0V6,10.100.10.34,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
ENGLHRT-6-ESW-3,WS-C3850-48P-L,FOC1828U0V6,10.100.10.34,DENALI 16.3.9,0.0.0.0,1,,V03,4/27/20 1:00
ENGLHRT-6-ESW-3,WS-C3850-48P-L,FOC1838X13Z,10.100.10.34,DENALI 16.3.9,0.0.0.0,2,,V04,4/27/20 1:00
333SUP-03096-03A-ESW-1,WS-C3850-48P-L,FCW2220C07X,10.100.22.92,DENALI 16.3.9,0.0.0.0,7,,V07,4/27/20 1:00
ALLSN-3E-ESW-1,3750-STACK,0X17,10.100.10.59,15.0(2)SE8,0.0.0.0,0,,,4/27/20 1:00
ALLSN-3E-ESW-1,WS-C3750X-48P,FDO1649X0W4,10.100.10.59,15.0(2)SE8,0.0.0.0,1,,V04,4/27/20 1:00
ALLSN-3E-ESW-1,WS-C3750X-48P,FDO1705W190,10.100.10.59,15.0(2)SE8,0.0.0.0,2,,V04,4/27/20 1:00
ALLSN-3E-ESW-1,WS-C3750X-48P,FDO1649H2HB,10.100.10.59,15.0(2)SE8,0.0.0.0,3,,V04,4/27/20 1:00
ALLSN-3W-ESW-1,3750-STACK,0X17,10.100.10.60,15.0(2)SE8,0.0.0.0,0,,,4/27/20 1:00
ALLSN-3W-ESW-1,WS-C3750X-48P,FDO1649H2J6,10.100.10.60,15.0(2)SE8,0.0.0.0,1,,V04,4/27/20 1:00
ALLSN-3W-ESW-1,WS-C3750X-48P,FDO1649Z2LJ,10.100.10.60,15.0(2)SE8,0.0.0.0,2,,V04,4/27/20 1:00
ALLSN-3W-ESW-1,WS-C3750X-48P,FDO1648H2QS,10.100.10.60,15.0(2)SE8,0.0.0.0,3,,V04,4/27/20 1:00
ALLSN-IDF-ESW-2,3850-STACK,FOC2220U09P,10.100.10.61,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
CORALGABLES-IDF-ESW-1,WS-C3850-48P-E,FOC1937U059,129.105.247.23,DENALI 16.3.8,0.0.0.0,1,,V05,4/27/20 1:00
CORALGABLES-IDF-ESW-1,WS-C3850-48P-E,FOC1937U05K,129.105.247.23,DENALI 16.3.8,0.0.0.0,2,,V05,4/27/20 1:00
