               name               |           model            |  asset_type  | serial_number 
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FCW1901D020
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FCW1835C0KL
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FOC1901X18L
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FOC1901X19T
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1901C14U
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X19A
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X19D
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1901D046
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X160
 NANO-2-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X18B
 NANO-3-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1901D04T
 NANO-3-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X19E
 NANO-3-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1848U1DL
 NANO-3-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1901D04Q
 NANO-3-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901U08Y
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1850X17Q
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X19G
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X02W
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1848C0N0
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FCW1848C0MQ
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901X06L
 NANO-4-ESW-1                     | WS-C3850-48P-L             | SWITCH       | FOC1901U199
 NANO-IDF-ESW-2                   | WS-C3850-48P-L             | SWITCH       | FOC2143U0EX
 NANO-IDF-ESW-2                   | WS-C3850-48P-L             | SWITCH       | FOC2143X0MH
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1832C1CL
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1925U11A
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1801Y670
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1820C0GE
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1823C0PC
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1823U103
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC2044X0XJ
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1901U19G
 NGARAGE-1288-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1748X0LK
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1832C1C2
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1832C0HN
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1807U0Q7
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1832X1EJ
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1829X170
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1832U1DR
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1830U00A
 NGARAGE-1635-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW1832C1AX
 NGARAGE-1852-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1832X1D0
 NGARAGE-4200-ESW-1               | WS-C3850-48P-L             | SWITCH       | FOC1828X0TH
 NGARAGE-4501-ESW-1               | WS-C3850-24P-L             | SWITCH       | FOC1748X0EP
 NGARAGE-4716-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2001D0S2
 NMQUAD-B-ESW-1                   | WS-C3850-24P-L             | SWITCH       | FOC1907X00M
 NMQUAD-B-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1911X08J
 NMQUAD-B-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1910U1K9
 NMQUAD-B-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1812U1EU
 NORRIS-1-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1752U0JN
 NORRIS-1-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1801U0C2
 NORRIS-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1901U198
 NORRIS-2-ESW-1                   | WS-C3850-24P-L             | SWITCH       | FOC1748U058
 NORRIS-3-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1522V1RW
 NORRIS-3-ESW-1                   | WS-C3750X-24P              | SWITCH       | FDO1623R370
 NORRIS-3-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525Z05E
 NORRIS-3-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525P12Q
 NORRIS-3-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525K124
 NORRIS-3-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525V0FB
 NORRIS-B-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1717P2JH
 NORRIS-B-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525V08P
 NORRIS-EAST-LAWN-ESW-1           | CISCOIE20004TSGB           | SWITCH       | FDO2038T0RQ
 NORRIS-G-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525K0UF
 NORRIS-G-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525Z05J
 NORRIS-G-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1524K1FD
 NORRIS-G-ESW-1                   | WS-C3750X-24P              | SWITCH       | FDO1522P18P
 NORRIS-G-ESW-1                   | WS-C3750X-24P              | SWITCH       | FDO1751Z1W4
 NYCDEVEL-IDF-ESW-1               | WS-C3750V2-48PS            | SWITCH       | FDO1502X1FK
 OBSRVTY-B-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2120C0QT
 OBSRVTY-B-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801X0LY
 OBSRVTY-B-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801U0JY
 OBSRVTY-B-ESW-1                  | WS-C3850-24P-L             | SWITCH       | FOC1747Y4F1
 OBSRVTY-B-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801U0GL
 OGLC-IDF-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1537R0AT
 OGLC-IDF-ESW-1                   | WS-C3750X-48P              | SWITCH       | FDO1525P137
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1901C187
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW1834C0B4
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1901U0SY
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1833U12C
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1848X1HB
 PANCOE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1901U19J
 PANCOE-3-ESW-4                   | WS-C3750X-48P              | SWITCH       | FDO1527P20B
 PANCOE-3-ESW-4                   | WS-C3750X-48P              | SWITCH       | FDO1537Z06R
 PANCOE-3-ESW-4                   | WS-C3750X-48P              | SWITCH       | FDO1527K1QU
 PANCOE-3-ESW-4                   | WS-C3750X-48P              | SWITCH       | FDO1528R0H1
 PANCOE-3-ESW-4                   | WS-C3750X-24P              | SWITCH       | FDO1522K11R
 PANCOE-4-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC1903U0MT
