Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            
60  E-2020 AC-04                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0013     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

61  E-2020 AC-06                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0016     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

62  E-2020 AC-07                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0015     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

63  E-2020 AC-08                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0012     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

64  C710 AC-2-6                          | EMERSON/LIEBERT          | CW084DC1A2S724               | N17A150017     | CHICAGO  | ABBOTT HALL                            | 245          | NUIT-CI-SO                   | 2/14/2017 11:32     | DS 30-TON CW UNIT

65  E-2020 AC-09                         |                          | DA125DP1AT802S               | C16FCE0018     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 8/19/2016 16:47     | DSE 44-TON CRAC UNIT

66  E-2020 AC-05                         |                          | DA125DP1AT802S               | C16FCE0017     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 8/19/2016 16:47     | DSE 44-TON CRAC UNIT

67  C-710 FAN WALL                       | FANTECH                  | FADE 18-4                    | 872364         | CHICAGO  | ABBOTT HALL                            | 243          | NUIT-CI-SO                   | 7/16/2015 12:09     | EXHAUST FAN

68  VFD-2                                |                          | 7.5HP                        | 211250XXXX     | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87 MOAT    | NUIT-CI-SO                   | 4/14/2017 15:30     | EXHAUST FAN

69  VFD-1                                |                          | 7.5HP                        | 213F08284      | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87 MOAT    | NUIT-CI-SO                   | 4/14/2017 15:28     | EXHAUST FAN

70  LG87 EXHAUST FAN                     | COOK                     | 120SQN                       | 701            | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | EXHAUST FAN

71  C-710 FREQUENCY DRIVE 1              | DANFOSS                  | 131F1798                     | 000424H201     | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | FREQUENCY DRIVES

72  C-710 FREQUENCY DRIVE 2              | DANFOSS                  | 131F1798                     | 000224H201     | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | FREQUENCY DRIVES

73  C-710 FREQUENCY DRIVE 3              | DANFOSS                  | 131F1798                     | 000324H201     | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | FREQUENCY DRIVES

74  C-710 CUP 150KW GENERATOR            | CATERPILLAR              | SR4                          | 6JA00712       | CHICAGO  | ABBOTT HALL                            | PARKING LOT  | NUIT-CI-SO                   | 11/4/2013 10:19     | GENERATOR

75  C-710 NIT 1.5MW GENERATOR            | CUMMINS                  | C1500D6RG                    | J120398717     | CHICAGO  | ABBOTT HALL                            | PARKING LOT  | NUIT-CI-SO                   | 2/19/2016 14:23     | GENERATOR

76  E-2020 1.5MW GENERATOR               | CUMMINS                  | C1500D6RG                    | B160926045     | EVANSTON | 2020 RIDGE AV                          | DOCK 6       | NUIT-CI-SO-SERVICEOPERATIONS | 6/18/2019 16:06     | GENERATOR

77  E-2001 GENERATOR                     | GENERAC                  | 6798020100                   | 2089404        | EVANSTON | LEVERONE HALL                          | LOADING DOCK | NUIT-CI-SO                   | 11/4/2013 10:19     | GENERATOR

78  C-710 NUIT 750KW GENERATOR           | CATERPILLAR              | SR4                          | 6EJ00536       | CHICAGO  | ABBOTT HALL                            | PARKING LOT  | NUIT-CI-SO                   | 10/26/2016 15:47    | GENERATOR

79  E-2020 1.5MW GENERATOR               | CUMMINS                  | C1500D6RG                    | I0800208776    | EVANSTON | 2020 RIDGE AV                          | DOCK 6       | NUIT-CI-SO                   | 6/18/2019 16:07     | GENERATOR

80  LG87 HUMIDIFIER                      | STULTZ                   | BNU-6000                     |                | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/17/2015 14:44     | HUMIDIFIER

81  E-2020 RTU-15                        | EMERSON/LIEBERT          | TCDV415-A                    | 1002C25605     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

82  E-2020 RTU-16                        | EMERSON/LIEBERT          | TCDV415-A                    | 1002C25597     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

83  E-2020 RTU-11                        | EMERSON/LIEBERT          | DCDL616-A                    | 0832C13997     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

84  E-2020 RTU-14                        | EMERSON/LIEBERT          | TCDV415-A                    | 1002C25598     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

85  E-2020 RTU-18                        | EMERSON/LIEBERT          | TCDV415-A                    | 0952C25545     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

86  E-2020 RTU-12                        | EMERSON/LIEBERT          | DCDL616-A                    | 0832C13991     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

87  E-2020 RTU-17                        | EMERSON/LIEBERT          | TCDV415-A                    | 0952C25546     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT CONDENSING UNIT

88  E-2001 DC-3                          | EMERSON/LIEBERT          | DDNT466Y                     | 0620C86866     | EVANSTON | LEVERONE HALL                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

89  E-2020 DC-1                          | EMERSON/LIEBERT          | DDNT940A                     | 0832C13982     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

90  E-2020 DC-2                          | EMERSON/LIEBERT          | DDNT940A                     | 0831C13920     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

91  E-2020 DC-3                          | EMERSON/LIEBERT          | DDNT940A                     | 0832C13980     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

92  E-2020 DC-4                          | EMERSON/LIEBERT          | DDNT940A                     | 0832C14016     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

93  E-2020 DC-6                          | EMERSON/LIEBERT          | DDNT940A                     | 0831C13913     | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | LIEBERT DRY COOLER UNIT

