name,manufacturer,model,serial_number,campus,building,room_number,department,last_edit_date_time,device_type
C-710 CHILLER - 3,CARRIER,30RAP0556J-0CF10,2516Q56957,CHICAGO,ABBOTT HALL,ROOF,NUIT-CI-SO,8/4/2016 9:48,CHILLER
C710 AC-2-6,EMERSON/LIEBERT,CW084DC1A2S724,N17A150017,CHICAGO,ABBOTT HALL,245,NUIT-CI-SO,2/14/2017 11:32,DS 30-TON CW UNIT
VFD-1,,7.5HP,213F08284,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87 MOAT,NUIT-CI-SO,4/14/2017 15:28,EXHAUST FAN
CHWP-2,,09704268-100,,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87 MOAT,NUIT-CI-SO,4/14/2017 15:40,CHILLED WATER DELUXE
CHWP-1,,09704268-100,,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87 MOAT,NUIT-CI-SO,4/14/2017 15:32,CHILLED WATER DELUXE
VFD-2,,7.5HP,211250XXXX,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87 MOAT,NUIT-CI-SO,4/14/2017 15:30,EXHAUST FAN
C-710 CHILLER - 4,CARRIER,30RBB08064-LG83L,2511Q76025,CHICAGO,ABBOTT HALL,ROOF,NUIT-CI-SO,4/26/2017 16:58,CHILLER
C-710 AC B-4,EMERSON/LIEBERT,PW0291C1A2S933,Y17D6S0008,CHICAGO,ABBOTT HALL,BASEMENT,NUIT-CI-SO,5/19/2017 17:02,CHILLED WATER CHALLENGER
E-2020 AC-05,,DA125DP1AT802S,C16FCE0017,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,8/19/2016 16:47,DSE 44-TON CRAC UNIT
E-2020 AC-09,,DA125DP1AT802S,C16FCE0018,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,8/19/2016 16:47,DSE 44-TON CRAC UNIT
CI4CRDB,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,8/18/2014 23:26,
CI4CRP2,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,3/17/2014 23:26,
CI4CRP4,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,3/17/2014 23:26,
HERTZ,DELL,POWEREDGE R710,CSXBBM1,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,8/18/2017 23:26,
CI4CRP5,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,12/4/2013 20:00,
CI4CRP3,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,12/4/2013 20:00,
CYBERWEB,VMWARE,,,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO-SERVICEOPERATIONS,10/29/2015 23:26,
C-LURIE SAGEON SENTRY 450A DC PLANT,C&D/POWERCOM,C&D AT-27 48V 1 STRING,CPS0508805,CHICAGO,ROBERT H LURIE MEDICAL RESEARCH CENTER,B105,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
C-750 SAGEON SENTRY 450A DC PLANT,C&D/POWERCOM,C&D AT-27 48V 1 STRING,APS0614200,CHICAGO,750 N LAKE SHORE DR,,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
C-710 VORTEX (7) 200A  DC PLANT A,EMERSON/LORAIN,LPS48E1 582140000,2619350,CHICAGO,ABBOTT HALL,112A,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
C-710 VORTEX (7) 200A  DC PLANT B,EMERSON/LORAIN,LPS48E1 582140000,2619351,CHICAGO,ABBOTT HALL,112A,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
C-710 CUP 150KW GENERATOR,CATERPILLAR,SR4,6JA00712,CHICAGO,ABBOTT HALL,PARKING LOT,NUIT-CI-SO,11/4/2013 10:19,GENERATOR
C-710 NUIT 750KW GENERATOR,CATERPILLAR,SR4,6EJ00536,CHICAGO,ABBOTT HALL,PARKING LOT,NUIT-CI-SO,10/26/2016 15:47,GENERATOR
E-2001 ATS-1,ASCO,H7ACTBA30800C5XC,347910-001 FP,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,11/4/2013 10:19,AUTO TRANSFER SWITCH
E-2001 ATS-2,ASCO,H7ACTBA30800C5XC,347910-002 FP,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,11/4/2013 10:19,AUTO TRANSFER SWITCH
E-2001 ATS-KGSM,ASCO,E7ACTBA30400C5XC,347911,EVANSTON,LEVERONE HALL,G182,NUIT-CI-SO,3/26/2015 11:18,AUTO TRANSFER SWITCH
E-2001 ATS-RADIO TOWER,ASCO,D00300030070C1XC,360089-005 RE,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,11/4/2013 10:19,AUTO TRANSFER SWITCH
E-2145 SAGEON SENTRY 450A DC PLANT B,C&D/POWERCOM,C&D AT-27 48V 1 STRING,EPS0509914,EVANSTON,TECHNOLOGICAL INSTITUTE,LB15,NUIT-CI-SO,7/12/2017 15:02,DC RECTIFIER PLANT AND BATTERIES
E-1855 SAGEON SENTRY 450A DC PLANT,C&D/POWERCOM,C&D AT-27 48V 1 STRING,APS0614199,EVANSTON,KRESGE UNDERGROUND,,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
E-2145 SAGEON SENTRY 450A DC PLANT A,C&D/POWERCOM,C&D AT-27 48V 1 STRING,APS0614201,EVANSTON,TECHNOLOGICAL INSTITUTE,LB15,NUIT-CI-SO,7/12/2017 15:05,DC RECTIFIER PLANT AND BATTERIES
E-2001 VORTEX (5) 200A DC PLANT A,EMERSON/LORAIN,LPS48E1 582140000,3819412,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
E-2001 VORTEX (5) 200A DC PLANT B,EMERSON/LORAIN,LPS48E1 582140000,3819413,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,7/10/2015 9:55,DC RECTIFIER PLANT AND BATTERIES
E-2001 GENERATOR,GENERAC,6798020100,2089404,EVANSTON,LEVERONE HALL,LOADING DOCK,NUIT-CI-SO,11/4/2013 10:19,GENERATOR
E-2020 PDR-E12,EATON/POWERWARE,253045-001,EC504RXX11,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-N7,EATON/POWERWARE,253045-001,EC151RXX26,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-O7,EATON/POWERWARE,253045-001,EC504RXX07,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-Q58,EATON/POWERWARE,253045-001,EC151RXX24,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-Q7,EATON/POWERWARE,253045-001,EC504RXX06,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 13:40,PDR
E-2020 PDR-R7,EATON/POWERWARE,253045-001,EC504RXX09,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-W34,EATON/POWERWARE,253045-001,EC504RXX08,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-W39,EATON/POWERWARE,253045-001,EC504RXX10,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-W43,EATON/POWERWARE,253045-001,EC151RXX23,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-W48,EATON/POWERWARE,253045-001,EC151RXX25,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDR-W62,EATON/POWERWARE,253045-001,EC082RXX01,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 9:55,PDR
E-2020 PDU-DC-1,EATON/POWERWARE,297239-001,EC495RXX05,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/10/2015 9:55,PDU
E-2020 PDU-DC-2,EATON/POWERWARE,297239-001,EC495RXX06,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/10/2015 9:55,PDU
E-2020 PDU-DC-5,EATON/POWERWARE,297239-001,EB526RXX01,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,3/23/2017 14:06,PDU
E-2020 PDU-DC-6,EATON/POWERWARE,297239-001,EC182RXX06,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/10/2015 9:55,PDU
E-2020 PDU-RS-1,EATON/POWERWARE,297239-001,EC495RXX03,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/10/2015 9:55,PDU
E-2020 PDU-RS-2,EATON/POWERWARE,297239-001,EC495RXX04,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/10/2015 9:55,PDU
E-2020 A-UPM-1,EATON/POWERWARE,9390-160,EC494CBB15,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/9/2016 10:21,UPS 3 PHASE AND BATTERIES
E-2020 A-UPM-2,EATON/POWERWARE,9390-160,EC501CBB06,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/9/2016 10:21,UPS 3 PHASE AND BATTERIES
E-2020 A-UPM-3,EATON/POWERWARE,9390-160,EC494CBB03,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/9/2016 10:22,UPS 3 PHASE AND BATTERIES
E-2001 LIEBERT NPOWER 100KVA UPS-1,EMERSON/LIEBERT,37SA100CCC6BF73,1359953,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,7/10/2015 9:55,UPS 3 PHASE AND BATTERIES
E-2001 LIEBERT NPOWER 100KVA UPS-2,EMERSON/LIEBERT,37SA100CCC6BF73,1359954,EVANSTON,LEVERONE HALL,G364A,NUIT-CI-SO,7/10/2015 9:55,UPS 3 PHASE AND BATTERIES
E-2020 B-UPM-1,EATON/POWERWARE,9390-160,EC494CBB13,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/8/2016 11:49,UPS 3 PHASE AND BATTERIES
E-2020 B-UPM-2,EATON/POWERWARE,9390-160,EA076CBA03,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/8/2016 11:47,UPS 3 PHASE AND BATTERIES
E-2020 B-UPM-3,EATON/POWERWARE,9390-160,EC164CBA02,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/8/2016 11:48,UPS 3 PHASE AND BATTERIES
E-2020 B-UPM-4,EATON/POWERWARE,9390-160,EE262CBB03,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/8/2016 11:48,UPS 3 PHASE AND BATTERIES
E-2020 B-UPM-5,EATON/POWERWARE,9390-160,EG294CBC09,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,2/9/2016 11:42,UPS 3 PHASE AND BATTERIES
LG87 300KVA UPS,EMERSON/LIEBERT,U39SA300CCCD087,D08E5B00001,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,3/22/2017 12:02,UPS 3 PHASE AND BATTERIES
E-2020 PDU-RS-3,EATON/POWERWARE,297239-001,EE502SXX01,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 13:44,PDU
E-2020 PDU-STS-1,LAYERZERO POWER SYSTEMS,EPODS TYPE X,10579-1,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/21/2015 10:58,PDU
E-2020 PDU-DC-4,LAYERZERO POWER SYSTEMS,EPODS TYPE X,10587-1,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/21/2015 10:58,PDU
