Application _Primary_Support1,Application_Annual_Cost,Application_Description,Application_Environment,Application_License_Details,Application_License_Model,Application_OS_Dependency,Application_Primary_Support2,Application_Primary_Support3,Application_Purchase_Cost,Application_Schedule_Frequency,Application_Type,Application_Vendor_Contact,Application_Vendor_Email,Application_Vendor_Name,Application_Vendor_Phone,Application_Version,Attached Storage,Batteries per String,Battery String Manufacturer Install Year,Building,Campus,Category,Change Control Plan,Change Control Plan Attached,CI ID,CI Name,CI Number,CI Type,Cooling Device,CPU Count,DAPS Management,Date Received,Department,Department Details,Drive Partitions,Escalation Procedures,Escalation Procedures Attached,External Document Repository,Floor,Host Name (For Virtual),In Service Date,Internal Support Level,IP Address,Last Edit Date/Time,Last Edit User,MAC Address,Manufacturer,Memory,Model,Name,Name (DNS),Notes,Number of Battery Strings,Operating System,Original Purchase Order,Out of Service Date,Owner,Power Device,Primary Application,Primary_Function,Purchase Cost,Purchase Date,Rack,Rail,Room Number,Serial Number,Server Type,Server_Environment,Service Contract Description,Service Contract End Date,Service Contract Number,Service Contract Purchase Order Number,Service Contract Start Date,Service Contract Term,Service Design Package,Service Design Package Attached?,Service Level Agreement,Service Level Agreement Attached,Service Management Notes,Status,Submit Date/Time,Submitter,Support Cost,Support Expiration Date,System_Audience,System_External_Contact_Details,System_Family,System_Overview,System_Owner,System_Type,Warranty Cost,Warranty Description,Warranty Expiration,Warranty Expiration Date,Warranty Number,Warranty Start Date,Warranty Term
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,42,E-2020 DC-2  [Cooling 29-42],29-42,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-2,,,,,PUR0576211,,,,,,,,,,Roof,0831C13920,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,43,E-2020 DC-3  [Cooling 29-43],29-43,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-3,,,,,PUR0576211,,,,,,,,,,Roof,0832C13980,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,44,E-2020 DC-4  [Cooling 29-44],29-44,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-4,,,,,PUR0576211,,,,,,,,,,Roof,0832C14016,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,45,E-2020 DC-6  [Cooling 29-45],29-45,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-6,,,,,PUR0576211,,,,,,,,,,Roof,0831C13913,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,46,E-2001 DC-1  [Cooling 29-46],29-46,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-1,,,,,PUR0576211,,,,,,,,,,Roof,0620C86877,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,47,E-2001 DC-2  [Cooling 29-47],29-47,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-2,,,,,PUR0576211,,,,,,,,,,Roof,0620C86708,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,48,E-2001 DC-3  [Cooling 29-48],29-48,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-3,,,,,PUR0576211,,,,,,,,,,Roof,0620C86866,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,49,LG87 CRAH-1  [Cooling 29-49],29-49,Cooling,Mini Mate AC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,MMD8TCDC00H0,LG87 CRAH-1,,,,,PUR0576211,,,,,,,,,,LG87,082IN167153,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,50,LG87 CRAH-2  [Cooling 29-50],29-50,Cooling,Mini Mate AC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,MMD402C2400DA,LG87 CRAH-2,,,,,PUR0576211,,,,,,,,,,LG87,082IN167135,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,51,E-2020 PUMP-1  [Cooling 29-51],29-51,Cooling,Pump,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,JPM2531J,E-2020 PUMP-1,,,,,PUR0576211,,,,,,,,,,Roof,Z0804140661,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,52,E-2020 PUMP-2  [Cooling 29-52],29-52,Cooling,Pump,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,JPM2531J,E-2020 PUMP-2,,,,,PUR0576211,,,,,,,,,,Roof,Z0804140646,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
