               hostname               |   ip_address    |       model       |       sw        |  serial_number   |      last_seen      
 LEV-G158-0G0208-FW-3-ITTNS           | 165.124.131.4   | SSG5-SERIAL       | 5.4.0R9.0       | 0162032007003923 | 2020-05-26 01:35:07
 COOK-4000A-FW-1-CQD                  | 165.124.82.180  | SSG5-SERIAL       | 6.3.0R19B.0     | 0162012012002932 | 2020-05-26 01:33:42
 CHDC-232-021536-FW-1-FM              | 165.124.51.22   | SSG5-SERIAL       | 6.3.0R1.0       | 0162012010001599 | 2020-05-26 01:35:09
 SCOTT-IDF-FW-2-SA-REG                | 129.105.253.222 | SSG5-SERIAL       | 6.3.0R1.0       | 0162022008002679 | 2020-05-26 01:34:26
 ABBT-242-021016-FW-1-FINANCE         | 165.124.1.68    | SSG5-SERIAL       | 6.3.0R9.0       | 0162032007001057 | 2020-05-26 01:35:07
 ALLEN-138-FW-2-ADMIN                 | 129.105.144.8   | SSG5-SERIAL       | 6.3.0R5.0       | 0162102010000362 | 2020-05-26 01:34:24
 SCOTT-IDF-FW-1-SA-WILDCARD           | 129.105.223.205 | SSG5-SERIAL       | 6.3.0R5.0       | 0162082009014004 | 2020-05-26 01:35:31
 SCOTT-IDF-FW-2-SA-WILDCARD           | 129.105.223.206 | SSG5-SERIAL       | 6.3.0R5.0       | 0162082009013999 | 2020-05-26 01:35:30
 SCOTT-IDF-FW-1-SA-REG                | 129.105.253.221 | SSG5-SERIAL       | 6.3.0R1.0       | 0162022008006657 | 2020-05-26 01:34:26
 ALLEN-138-FW-1-ADMIN                 | 129.105.144.7   | SSG5-SERIAL       | 6.3.0R5.0       | 0162082010001168 | 2020-05-26 01:34:24
 ABBT-242-020815-FW-2-ITTNS           | 165.124.131.72  | SSG5-SERIAL       | 5.4.0R9.0       | 0162052007004830 | 2020-05-26 01:35:31
 555CLRK-1-FW-1-ENROLLMENT            | 129.105.209.69  | SSG5-SERIAL       | 6.3.0R9.0       | 0162112007003531 | 2020-05-26 01:34:26
 LEV-G158-0G0208-FW-2-ITTNS           | 165.124.131.7   | SSG5-SERIAL       | 5.4.0R9.0       | 0162042007000912 | 2020-05-26 01:35:31
 MCGAW-0529-FW-1-JCIBAS               | 10.12.33.10     | SSG5-SERIAL       | 6.3.0R1.0       | 0162122009001806 | 2020-05-26 01:35:09
 EVDC-R48-FW-2-LAW                    | 165.124.73.4    | SSG5-SERIAL       | 5.4.0R3A.0      | 0162052007006103 | 2020-05-26 01:35:09
 CHDC-VSRX-FW-2267-1-KGSM-NODE0       | 10.100.117.5    | VSRX              | 15.1X49-D100.6  | 73765B524177     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-MEAS-NODE1       | 10.100.118.23   | VSRX              | 15.1X49-D50.3   | 3537B9AD34DC     | 2020-05-26 01:35:30
 EVDC-VSRX-FW-1146-1-MEAS-NODE0       | 10.100.118.22   | VSRX              | 15.1X49-D50.3   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 CHDC-VSRX-FW-2267-1-KGSM-NODE1       | 10.100.117.6    | VSRX              | 15.1X49-D100.6  | NOSUCHOBJECT     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-2265-1-SOC-NODE0        | 10.100.118.24   | VSRX              | 15.1X49-D50.3   | NOSUCHOBJECT     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-2265-1-ART-NODE0        | 10.100.118.32   | VSRX              | 15.1X49-D130.6  | NOSUCHOBJECT     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-FISMA-NODE0      | 10.100.118.14   | VSRX              | 15.1X49-D90.7   | NOSUCHOBJECT     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-1146-1-FISMA-NODE1      | 10.100.118.15   | VSRX              | 15.1X49-D90.7   | E87389DD7735     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-1146-1-CBITS-NODE0      | 10.100.118.12   | VSRX              | 15.1X49-D90.7   | B07E3A610868     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-2265-1-NUANCE-NODE0     | 10.100.118.28   | VSRX              | 15.1X49-D90.7   | NOSUCHOBJECT     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-2265-1-NUANCE-NODE1     | 10.100.118.29   | VSRX              | 15.1X49-D90.7   | 981F7CA3B45F     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-1146-1-QATAR            | 165.124.26.55   | VSRX              | 15.1X49-D50.3   | 40CCDC91028C     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-2265-1-SOC-NODE1        | 10.100.118.25   | VSRX              | 15.1X49-D50.3   | 15F7E7EEE0CB     | 2020-05-26 01:35:31
 EVDC-VSRX-FW-1146-1-MSRDS            | 165.124.26.46   | VSRX              | 15.1X49-D140.2  | C54B8EC73B2B     | 2020-05-26 01:34:23
 EVDC-VSRX-FW-1146-2-FSM-NODE1        | 10.100.118.35   | VSRX              | 15.1X49-D110.4  | 94C15476867C     | 2020-05-26 01:35:33
 EVDC-VSRX-FW-1146-1-PCE-NODE0        | 10.100.118.20   | VSRX              | 15.1X49-D50.3   | NOSUCHOBJECT     | 2020-05-26 01:35:32
 EVDC-VSRX-FW-1146-1-PCE-NODE1        | 10.100.118.21   | VSRX              | 15.1X49-D50.3   | 380941A51810     | 2020-05-26 01:35:32
