"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","RISAPPDEV-NUC",,,"2","1","2","4","104","33","1","dvPortGroup_VMNET_Research",,"NUCLOUD","EVVCENTERCLOUD1","Research_vDC"
"VM","LAW-WEBPROD_replica",,,"2","1","2","12","360","146","1",,,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","testclone",,,"2","1","2","4","44","40","1","VM Network",,"NUCLOUD","EVVCENTERCLOUD1","PIPS-vDC"
"VM","krg-svn_replica",,"Red Hat Enterprise Linux 5 (64-bit)","2","1","2","2","49","15","1","VM Network",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","smacky3","smacky3.kelleher.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","2","4","12","174","174","1","dvportgroup-78171",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","dbdev8","wit-dbdev8",,"1","1","1","2","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","EVPubRmtDB01.library.northwestern.edu","EVPubRmtDB01.library.northwestern.edu",,"2","1","2","6","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","mas18db1.tech.northwestern.edu","mas18db1","Ubuntu Linux (64-bit)","2","1","2","8","108","36","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","W2016_VNUINVESTDC",,,"2","2","4","16","0","0","1","dvPortGroup_VMNET_Investments",,"NUCLOUD",,"Investments_vDC"
"VM","puppetdb.library.northwestern.edu (9dc095db-87e4-4e8e-9bde-033f97a1ac26)","puppetdb.library.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","2","1","2","4","12","7","1","dvPortGroup_VMNET_NUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","SOCWSUSINFRA","SOCWSUSINFRA.soc.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","4","1","4","12","372","317","1","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","EVDC01-S.ADLibrary.northwestern.edu","EVDC01-S.adlibrary.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","179","179","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","GIMLI.library.northwestern.edu","GIMLI.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","579","579","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","W2016_VNUINVESTSYNC","VNUINVESTSYNC.ivm.northwestern.edu",,"2","2","4","64","0","0","1","dvPortGroup_VMNET_Investments",,"NUCLOUD",,"Investments_vDC"
"VM","W2016_VNUINVESTDCO","VNUINVESTDCO.ivm.northwestern.edu",,"2","2","4","32","0","0","1","dvPortGroup_VMNET_Investments",,"NUCLOUD",,"Investments_vDC"
"VM","EVDC01.Library.northwestern.edu","EVDC01.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","6","181","181","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","SOCUGRADFMP","SOCUGRADFMP.soc.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","68","42","1","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
