                                      name                                      |                  fqdn                   |                 os                  
 DISCOLIB1-P.LIBRARY.NORTHWESTERN.EDU                                           | DISCOLIB1-P                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DISCOLIB1-S.LIBRARY.NORTHWESTERN.EDU                                           | DISCOLIB1-S                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DISCOWEB1-D.LIBRARY.NORTHWESTERN.EDU                                           | DISCOWEB1-D                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DISCOWEB1-P.LIBRARY.NORTHWESTERN.EDU                                           | DISCOWEB1-P                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DISCOWEB1-S.LIBRARY.NORTHWESTERN.EDU                                           | DISCOWEB1-S                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 FACULTY-PROD                                                                   | FACULTY-PROD.WCAS.NORTHWESTERN.EDU      | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 FTP-LOC01-PRD (46BECE40-D21D-4CCA-B81B-22D25B05FC1D)                           | FTP-LOC01-PRD.LIBRARY.NORTHWESTERN.EDU  | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 FTP-PRD.LIBRARY.NORTHWESTERN (D5F8C37D-0E2F-486A-912E-7CD8E6C21707)            | FTP-PRD.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 FTP-STG.LIBRARY.NORTHWESTERN.EDU                                               | FTP-STG.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 GATTO (7DA1048F-A4D4-4D25-8BBE-16698E78789D)                                   | GATTO.LIBRARY.NORTHWESTERN.EDU          | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 GPROD2.FSM.NORTHWESTERN.EDU                                                    |                                         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 HOMER-D.LIBRARY.NORTHWESTERN.EDU                                               | HOMER-D.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 HOMER-P.LIBRARY.NORTHWESTERN.EDU (E6EF71E8-4CD0-4C1F-9C43-27755F8C7D20)        | HOMER-P.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 HOMER-S.LIBRARY.NORTHWESTERN.EDU (96F16143-544F-4F81-93CD-C0C3777228A7)        | HOMER-S.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 IMAGES-S.LIBRARY.NORTHWESTERN.EDU (A0EF5F8C-03DD-411D-B53E-D160AF1523A6)       | IMAGES-S.LIBRARY.NORTHWESTERN.EDU       | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 LIBFEDORA1S.LIBRARY.NORTHWESTERN.EDU (26C518C3-1CED-428A-9183-F185331667ED)    |                                         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 LIBJBPM1S.LIBRARY.NORTHWESTERN.EDU (74E3E80F-FD23-42D1-9887-058583DDAF51)      |                                         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 LIBREPOFILES1S.LIBRARY.NORTHWESTERN.EDU (9CFCA915-834E-404B-A51D-7DCE279D1DA8) |                                         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MDW-P.LIBRARY.NORTHWESTERN.EDU (662281EA-9365-4EBA-8263-6D933388E04D)          | MDW-P.LIBRARY.NORTHWESTERN.EDU          | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MENU-P.LIBRARY.NORTHWESTERN.EDU (720D113A-43F0-4BB8-B1D8-3C11E1E0E240)         | MENU-P.LIBRARY.NORTHWESTERN.EDU         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MENU-S.LIBRARY.NORTHWESTERN.EDU                                                | MENU-S.LIBRARY.NORTHWESTERN.EDU         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MYSQL-DB01-PRD (55CCC6DE-0EFE-47D4-9820-2E84C25F840B)                          | MYSQL-DB01-PRD.LIBRARY.NORTHWESTERN.EDU | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MYSQL-DB02-PRD (2BBA8898-910B-44EA-8827-AF5BC11EE30E)                          | MYSQL-DB02-PRD.LIBRARY.NORTHWESTERN.EDU | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 MYSQL-WHRD-PRD (9E4D67CC-D56E-4765-B1D1-D5F9F53E0421)                          | MYSQL-WHRD-PRD.LIBRARY.NORTHWESTERN.EDU | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 NUSUBDB.LING                                                                   | NUSUBDB.LING.NORTHWESTERN.EDU           | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 OSLER.FSM.NORTHWESTERN.EDU                                                     |                                         | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 PALPATINE (C5616EAF-FE1F-4209-9B5D-8B56DF91A16A)                               | PALPATINE.LIBRARY.NORTHWESTERN.EDU      | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 PRESS-S.LIBRARY.NORTHWESTERN.EDU                                               | PRESS-S                                 | RED HAT ENTERPRISE LINUX 6 (64-BIT)
