name,fqdn,guest
WEBAPPS7,WEBAPPS7.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BENDER.TECH.NORTHWESTERN.EDU,BENDER,UBUNTU LINUX (64-BIT)
PEAKS,PEAKS2.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DBTEST,WIT-DBTEST.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
INSTRUMENT DNS,INSTRUMENT-DNS.KELLEHER.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
DBDEV,WIT-DBDEV.WCAS.NORTHWESTERN.EDU,
SAF-SCWWEB1B,SAF-SCWWEB1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
HELPDESK,HELPDESK.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISWEBTEST12,RISWEBTEST-12.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
HOMER-D.LIBRARY.NORTHWESTERN.EDU,HOMER-D.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CONGAREE,CONGAREE.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2003 STANDARD (32-BIT)
WPHOST-BV,WPHOST-BV,RED HAT ENTERPRISE LINUX 7 (64-BIT)
WORDHOARD-P.LIBRARY.NORTHWESTERN.EDU (12FF0ED7-078F-4CBF-89FD-4120A9B8F774),WORDHOARD-P,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EV-WEBPRINT07.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT07.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-CCD,LAW-CCD.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CS-POC-WIN10-1,,
W2016_VNUINVESTFSR,VNUINVESTFSR.IVM.NORTHWESTERN.EDU,
SAF-EMSALL1BT,SAF-EMSALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-WEBPRINT08.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT08.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-WUSALL1BT,SAF-WUSALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
COLLABORATION-DEV,COLLABORATION-DEV,UBUNTU LINUX (64-BIT)
ULAM18.TECH.NORTHWESTERN.EDU,ULAM18,UBUNTU LINUX (64-BIT)
ARDWSUS,ARDWSUS.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
DATABASE2,DATABASE2.KELLEHER.NORTHWESTERN.EDU,
FLEMING-S.LIBRARY.NORTHWESTERN.EDU,FLEMING-S.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISAPP-PROD,RISAPP-PROD.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
