                           dct_serial                           |  fin_ops_serial   | idrac_service_tag | ibm_serial |   dct_make    | dct_type |             dct_name              | fin_ops_po | idrac_end_date | ibm_end_date 
 7DWYPD2                                                        |                   | 7DWYPD2           |            | DELL          | SERVER   | EVSPLIDX04                        |            | 7/29/2021      | 
 7DWZPD2                                                        |                   | 7DWZPD2           |            | DELL          | SERVER   | EVSPLIDX05                        |            | 7/29/2021      | 
 HM0CXQ2                                                        | HM0CXQ2           | HM0CXQ2           |            | DELL          | SERVER   | EVSPLIDX06                        | PUR1323640 | 7/21/2021      | 
 HM0CXQ2                                                        | HM0CXQ2           | HM0CXQ2           |            | DELL          | SERVER   | EVSPLIDX06                        | PUR1323640 | 7/21/2021      | 
 H7R5XQ1                                                        |                   |                   |            | DELL          | SERVER   | EVSPLIDX06-DAS01                  |            |                | 
 92NZCS2                                                        | 92NZCS2           |                   |            | DELL          | SERVER   | EVSPLIDX06-DAS02                  | PUR1323640 |                | 
 HM0DXQ2                                                        | HM0DXQ2           | HM0DXQ2           |            | DELL          | SERVER   | EVSPLIDX07                        | PUR1323640 | 7/21/2021      | 
 HM0DXQ2                                                        | HM0DXQ2           | HM0DXQ2           |            | DELL          | SERVER   | EVSPLIDX07                        | PUR1323640 | 7/21/2021      | 
 HNQ6XQ2                                                        | HNQ6XQ2           |                   |            | DELL          | SERVER   | EVSPLIDX07-DAS01                  | PUR1323640 |                | 
 H7R8XQ2                                                        | H7R8XQ2           |                   |            | DELL          | SERVER   | EVSPLIDX07-DAS02                  | PUR1323640 |                | 
 3Z5BH02                                                        | 3Z5BH02           | 3Z5BH02           |            | DELL          | SERVER   | EVSPLIDX91                        | PUR0695223 | 2/26/2019      | 
 3CV81Q2                                                        | 3CV81Q2           | 3CV81Q2           |            | DELL          | SERVER   | EVSPLSES01                        | PUR1326725 | 8/2/2021       | 
 BVQ8S52                                                        |                   | BVQ8S52           |            | DELL          | SERVER   | EVSPLSRC01                        |            | 7/13/2020      | 
 BVPMS52                                                        |                   | BVPMS52           |            | DELL          | SERVER   | EVSPLSRC02                        |            | 7/13/2020      | 
 HHNZHB2                                                        | HHNZHB2           | HHNZHB2           |            | DELL          | SERVER   | EVVSRX01                          | PUR1001739 | 6/4/2021       | 
 HHP0JB2                                                        | HHP0JB2           | HHP0JB2           |            | DELL          | SERVER   | EVVSRX02                          | PUR1001739 | 6/4/2021       | 
 4JN9HQ2                                                        | 4JN9HQ2           | 4JN9HQ2           |            | DELL          | SERVER   | EVVSRX03                          | PUR1333388 | 8/20/2021      | 
 4JN9HQ2                                                        | 4JN9HQ2           | 4JN9HQ2           |            | DELL          | SERVER   | EVVSRX03                          | PUR1333388 | 8/20/2021      | 
 4JMHHQ2                                                        | 4JMHHQ2           | 4JMHHQ2           |            | DELL          | SERVER   | EVVSRX04                          | PUR1333388 | 8/20/2021      | 
 4JMHHQ2                                                        | 4JMHHQ2           | 4JMHHQ2           |            | DELL          | SERVER   | EVVSRX04                          | PUR1333388 | 8/20/2021      | 
 1HFY842                                                        | 1HFY842           | 1HFY842           |            | DELL          | SERVER   | FFRATM1PRD                        | PUR0814460 | 1/30/2020      | 
 1HFY842                                                        | 1HFY842           | 1HFY842           |            | DELL          | SERVER   | FFRATM1PRD                        | PUR0814460 | 1/30/2020      | 
 JCPPHQ2                                                        |                   | JCPPHQ2           |            | DELL          | SERVER   | FFRATM1PRD2                       |            | 9/4/2023       | 
 4TK3S52                                                        | 4TK3S52           | 4TK3S52           |            | DELL          | SERVER   | NUBIEVAPP07                       | PUR0868095 | 6/27/2021      | 
 4TK3S52                                                        | 4TK3S52           | 4TK3S52           |            | DELL          | SERVER   | NUBIEVAPP07                       | PUR0868095 | 6/27/2021      | 
 4TK4S52                                                        | 4TK4S52           | 4TK4S52           |            | DELL          | SERVER   | NUBIEVAPP08                       | PUR0868095 | 6/27/2021      | 
 4TK4S52                                                        | 4TK4S52           | 4TK4S52           |            | DELL          | SERVER   | NUBIEVAPP08                       | PUR0868095 | 6/27/2021      | 
 4TK5S52                                                        | 4TK5S52           | 4TK5S52           |            | DELL          | SERVER   | NUBIEVAPP09                       | PUR0868095 | 6/27/2021      | 
 4TK5S52                                                        | 4TK5S52           | 4TK5S52           |            | DELL          | SERVER   | NUBIEVAPP09                       | PUR0868095 | 6/27/2021      | 
 82N0CH2                                                        | 82N0CH2           | 82N0CH2           |            | DELL          | SERVER   | NUBIEVAPP12                       | PUR1103202 | 2/10/2021      | 
 82N0CH2                                                        | 82N0CH2           | 82N0CH2           |            | DELL          | SERVER   | NUBIEVAPP12                       | PUR1103202 | 2/10/2021      | 
 9178VR1                                                        |                   |                   |            | DELL          | SERVER   | NUFMZENMASTER                     |            |                | 
 9179VR1                                                        |                   |                   |            | DELL          | SERVER   | NUFMZENSLAVE                      |            |                | 
 CZ3920T4Z3                                                     |                   |                   |            | DELL          | SERVER   | NUQVMHOST06                       |            |                | 
 CZ3920T4Z5                                                     |                   |                   |            | DELL          | SERVER   | NUQVMHOST07                       |            |                | 
 G4S7HH2                                                        | G4S7HH2           | G4S7HH2           |            | DELL          | SERVER   | RISAOPSPRD                        | PUR1125517 | 3/30/2022      | 
 G4S5HH2                                                        | G4S5HH2           | G4S5HH2           |            | DELL          | SERVER   | RISAOPSPRDDATE                    | PUR1125517 | 3/31/2022      | 
 G4S6HH2                                                        | G4S6HH2           | G4S6HH2           |            | DELL          | SERVER   | RISAOPSTST                        | PUR1125517 | 3/30/2022      | 
 G4RBHH2                                                        | G4RBHH2           | G4RBHH2           |            | DELL          | SERVER   | RISAOPSTSTDAT                     | PUR1125517 | 3/31/2022      | 
 175LN22                                                        | 175LN22           |                   |            | DELL          | SERVER   | RISEIRB7APP                       | PUR0765232 |                | 
 CV4MW12                                                        | CV4MW12           | CV4MW12           |            | DELL          | SERVER   | RISEIRB7APPTEST                   | PUR0750793 | 8/4/2021       | 
 175KN22                                                        | 175KN22           | 175KN22           |            | DELL          | SERVER   | RISEIRB7DAT                       | PUR0765232 | 8/5/2021       | 
 CV3PW12                                                        | CV3PW12           | CV3PW12           |            | DELL          | SERVER   | RISEIRB7DATTEST                   | PUR0750793 | 8/4/2021       | 
 10V0V52                                                        |                   | 10V0V52           |            | DELL          | SERVER   | VMBKUP01A                         |            | 8/7/2021       | 
 10TYT52                                                        | 10TYT52           | 10TYT52           |            | DELL          | SERVER   | VMBKUP02A                         | PUR0883531 | 8/7/2021       | 
 10TXT52                                                        | 10TXT52           | 10TXT52           |            | DELL          | SERVER   | VMBKUP03A                         | PUR0883531 | 8/7/2021       | 
 10TZT52                                                        | 10TZT52           | 10TZT52           |            | DELL          | SERVER   | VMBKUP04A                         | PUR0883531 | 8/7/2021       | 
 8TFH333                                                        |                   | 8TFH333           |            | DELL          | SERVER   | VMBKUP05A                         |            | 3/21/2024      | 
 8WYXHK2                                                        |                   | 8WYXHK2           |            | DELL          | SERVER   | VMBKUP05A-OLD                     |            | 8/4/2021       | 
 GF2GR52                                                        | GF2GR52           |                   |            | DELL          | SERVER   | VMBKUP06                          | PUR0864573 |                | 
 8WYWHK2                                                        |                   | 8WYWHK2           |            | DELL          | SERVER   | VMBKUP07                          |            | 8/3/2021       | 
 8WYWHK2                                                        |                   | 8WYWHK2           |            | DELL          | SERVER   | VMBKUP07                          |            | 8/3/2021       | 
 14HDDW2                                                        |                   | 14HDDW2           |            | DELL          | SERVER   | VMBKUP08A                         |            | 4/26/2023      | 
 14J7DW2                                                        |                   | 14J7DW2           |            | DELL          | SERVER   | VMBKUP09A                         |            | 4/26/2023      | 
 FC6IS160900021                                                 |                   |                   |            | EMC           | SERVER   | EVISILON01-N6                     |            |                | 
 MXQ93704QX                                                     |                   |                   |            | HP            | SERVER   | EVCOP1                            |            |                | 
 MKQ93704QK                                                     |                   |                   |            | HP            | SERVER   | EVCOP2                            |            |                | 
 MXQ93704QZ                                                     |                   |                   |            | HP            | SERVER   | EVCOP3                            |            |                | 
 ACLGRS8                                                        |                   |                   |            | PELCO         | SERVER   | POLICE VIDEO                      |            |                | 
 35689 16223                                                    |                   |                   |            | QUALYS        | SERVER   | QUALYS-EVANSTON                   |            |                | 
 9855182                                                        |                   |                   |            | CODE42        | STORAGE  | BACKUP3                           |            |                | 
 9867182                                                        |                   |                   |            | CODE42        | STORAGE  | BACKUP5                           |            |                | 
 7XL92R1                                                        | 7XL92R1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS01A                   | PUR0335217 |                | 
 9XL92R1                                                        | 9XL92R1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS01B                   | PUR0335217 |                | 
 GY5ZLS1                                                        | GY5ZLS1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS01C                   | PUR0423266 |                | 
 8XL92R1                                                        | 8XL92R1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS02A                   | PUR0335217 |                | 
 6XL92R1                                                        | 6XL92R1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS02B                   | PUR0335217 |                | 
 GY5YLS1                                                        | GY5YLS1           |                   |            | DELL          | STORAGE  | CHCSPDPM-DAS02C                   | PUR0423266 |                | 
 GY6WLS1                                                        | GY6WLS1           |                   |            | DELL          | STORAGE  | CHCSPDPM04-DAS04A                 | PUR0423266 |                | 
 GY5WLS1                                                        | GY5WLS1           |                   |            | DELL          | STORAGE  | CHCSPDPM04-DAS04B                 | PUR0423266 |                | 
 H4QKKS1                                                        | H4QKKS1           |                   |            | DELL          | STORAGE  | CHCSPDPM04-DAS04C                 | PUR0423266 |                | 
 GY6SLS1                                                        | GY6SLS1           |                   |            | DELL          | STORAGE  | CHCSPDPM04-DAS04D                 | PUR0423266 |                | 
 JHPWNN1                                                        | JHPWNN1           |                   |            | DELL          | STORAGE  | CHCSPMBX                          | PUR0263482 |                | 
 3CDIGX1                                                        |                   |                   |            | DELL          | STORAGE  | CHCSPMBX03-DAS03AA                |            |                | 
 3CDWGX1                                                        | 3CDWGX1           |                   |            | DELL          | STORAGE  | CHCSPMBX03-DAS03B                 | PUR0596941 |                | 
 3CHWGX1                                                        | 3CHWGX1           |                   |            | DELL          | STORAGE  | CHCSPMBX03-DAS03C                 | PUR0596928 |                | 
 3CGTGX1                                                        | 3CGTGX1           |                   |            | DELL          | STORAGE  | CHCSPMBX04-DAS04A                 | PUR0596941 |                | 
 3CDVGX1                                                        | 3CDVGX1           |                   |            | DELL          | STORAGE  | CHCSPMBX04-DAS04B                 | PUR0596941 |                | 
 3CFVGX1                                                        | 3CFVGX1           |                   |            | DELL          | STORAGE  | CHCSPMBX04-DAS04C                 | PUR0596941 |                | 
 4BFLV12                                                        | 4BFLV12           |                   |            | DELL          | STORAGE  | CHCSPMBX05-DAS05A                 | PUR0737196 |                | 
 4BFKV12                                                        | 4BFKV12           |                   |            | DELL          | STORAGE  | CHCSPMBX05-DAS05B                 | PUR0737196 |                | 
 4BGKV12                                                        | 4BGKV12           |                   |            | DELL          | STORAGE  | CHCSPMBX05-DAS05C                 | PUR0737196 |                | 
 7RWZDZ1                                                        | 7RWZDZ1           |                   |            | DELL          | STORAGE  | CHSOCFILE02                       | PUR0682421 |                | 
 HM09XQ2                                                        | HM09XQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX06                        | PUR1323640 |                | 
 HNQ3XQ2                                                        | HNQ3XQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX06-DAS01                  | PUR1323640 |                | 
 H7R5XQ2                                                        | H7R5XQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX06-DAS02                  | PUR1323640 |                | 
 HM0BXQ2                                                        | HM0BXQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX07                        | PUR1323640 |                | 
 HNQ4XQ2                                                        | HNQ4XQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX07-DAS01                  | PUR1323640 |                | 
 H7R6XQ2                                                        | H7R6XQ2           |                   |            | DELL          | STORAGE  | CHSPLIDX07-DAS02                  | PUR1323640 |                | 
 6CTOQD2                                                        |                   |                   |            | DELL          | STORAGE  | CHSPLUNKDISK04                    |            |                | 
 6CSXPD2                                                        |                   |                   |            | DELL          | STORAGE  | CHSPLUNKDISK04-DS2                |            |                | 
 6CSZPD2                                                        |                   |                   |            | DELL          | STORAGE  | CHSPLUNKDISK05                    |            |                | 
 6CSTPD2                                                        |                   |                   |            | DELL          | STORAGE  | CHSPLUNKDISK05-DS2                |            |                | 
 82HNKS1                                                        |                   |                   |            | DELL          | STORAGE  | CHVMBKUP01-DAS                    |            |                | 
 98H0JK2                                                        |                   |                   |            | DELL          | STORAGE  | CHVMBKUP01A-DAS                   |            |                | 
 C7KKYV1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPDPM03-DAS03A                 |            |                | 
 C7JMYV1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPDPM03-DAS03B                 |            |                | 
 C7KLYV1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPDPM03-DAS03C                 |            |                | 
 FQH4FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX01-DAS01A                 |            |                | 
 FQG5FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX01-DAS01B                 |            |                | 
 FQH5FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX01-DAS01C                 |            |                | 
 FQF5FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX02-DAS02A                 |            |                | 
 36CWGX1                                                        | 36CWGX1           |                   |            | DELL          | STORAGE  | EVCSPMBX02-DAS02B                 | PUR0596893 |                | 
 36DTGX1                                                        | 36DTGX1           |                   |            | DELL          | STORAGE  | EVCSPMBX02-DAS02C                 | PUR0596893 |                | 
 36CVGX1                                                        | 36CVGX1           |                   |            | DELL          | STORAGE  | EVCSPMBX03-DAS03A                 | PUR0596893 |                | 
 36CTGX1                                                        | 36CTGX1           |                   |            | DELL          | STORAGE  | EVCSPMBX03-DAS03B                 | PUR0596893 |                | 
 FQF4FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX03-DAS03C                 |            |                | 
 FQF6FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX04-DAS04A                 |            |                | 
 FQG4FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX04-DAS04B                 |            |                | 
 FQG6FX1                                                        |                   |                   |            | DELL          | STORAGE  | EVCSPMBX04-DAS04C                 |            |                | 
 4BCMV12                                                        | 4BCMV12           |                   |            | DELL          | STORAGE  | EVCSPMBX05_DAS05A                 | PUR0737189 |                | 
 4BCLV12                                                        | 4BCLV12           |                   |            | DELL          | STORAGE  | EVCSPMBX05_DAS05B                 | PUR0737189 |                | 
 4BDKV12                                                        | 4BDKV12           |                   |            | DELL          | STORAGE  | EVCSPMBX05_DAS05C                 | PUR0737189 |                | 
 4BCKV12                                                        | 4BCKV12           |                   |            | DELL          | STORAGE  | EVCSPMBX06_DAS06A                 | PUR0737189 |                | 
 4BDLV12                                                        | 4BDLV12           |                   |            | DELL          | STORAGE  | EVCSPMBX06_DAS06B                 | PUR0737189 |                | 
 4BDMV12                                                        | 4BDMV12           |                   |            | DELL          | STORAGE  | EVCSPMBX06_DAS06C                 | PUR0737189 |                | 
 5MZLXQ1                                                        | 5MZLXQ1           |                   |            | DELL          | STORAGE  | EVDPM-DAS01A                      | PUR0335239 |                | 
 5MZQXQ1                                                        | 5MZQXQ1           |                   |            | DELL          | STORAGE  | EVDPM-DAS01B                      | PUR0335239 |                | 
 2F0ZMS1                                                        | 2F0ZMS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS01C                      | PUR0423266 |                | 
 5MZNXQ1                                                        | 5MZNXQ1           |                   |            | DELL          | STORAGE  | EVDPM-DAS02A                      | PUR0335239 |                | 
 5MZPXQ1                                                        | 5MZPXQ1           |                   |            | DELL          | STORAGE  | EVDPM-DAS02B                      | PUR0335239 |                | 
 2F10NS1                                                        | 2F10NS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS02C                      | PUR0423266 |                | 
 DJYYLS1                                                        | DJYYLS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS04A                      | PUR0423266 |                | 
 DJZWLS1                                                        | DJZWLS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS04B                      | PUR0423266 |                | 
 2F0VMS1                                                        | 2F0VMS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS04C                      | PUR0423266 |                | 
 DJYXLS1                                                        | DJYXLS1           |                   |            | DELL          | STORAGE  | EVDPM-DAS04D                      | PUR0423266 |                | 
 J3D6T52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX01-DAS01                  |            |                | 
 J3DDT52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX01-DAS02                  |            |                | 
 J3D9T52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX02-DAS01                  |            |                | 
 J3DJT52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX02-DAS02                  |            |                | 
 J3D8T52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX03-DAS01                  |            |                | 
 J3DHT52                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX03-DAS02                  |            |                | 
 6CSVPD2                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX04-DAS01                  |            |                | 
 6CT1QD2                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX04-DAS02                  |            |                | 
 6CSWPD2                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX05-DAS01                  |            |                | 
 6CSYPD2                                                        |                   |                   |            | DELL          | STORAGE  | EVSPLIDX05-DAS02                  |            |                | 
 2QQ9H02                                                        | 2QQ9H02           |                   |            | DELL          | STORAGE  | EVSPLUNKDISK                      | PUR0695223 |                | 
 1051V52                                                        | 1051V52           |                   |            | DELL          | STORAGE  | VMBKUP01A-DAS                     | PUR0883531 |                | 
 1050V52                                                        | 1050V52           |                   |            | DELL          | STORAGE  | VMBKUP02A-DAS                     | PUR0883531 |                | 
 104ZT52                                                        | 104ZT52           |                   |            | DELL          | STORAGE  | VMBKUP03A-DAS                     | PUR0883531 |                | 
 104YT52                                                        | 104YT52           |                   |            | DELL          | STORAGE  | VMBKUP04A-DAS                     | PUR0883531 |                | 
 98GZHK2                                                        |                   |                   |            | DELL          | STORAGE  | VMBKUP05A-DAS-OLD                 |            |                | 
 DQYB3333                                                       |                   |                   |            | DELL          | STORAGE  | VMBKUP05A-DAS01                   |            |                | 
 D3JCR52                                                        | D3JCR52           |                   |            | DELL          | STORAGE  | VMBKUP06-DAS                      | PUR0864573 |                | 
 98H1JK2                                                        |                   |                   |            | DELL          | STORAGE  | VMBKUP07-DAS                      |            |                | 
 15V9DW2                                                        |                   |                   |            | DELL          | STORAGE  | VMBKUP08A-DAS01                   |            |                | 
 15VBDW2                                                        |                   |                   |            | DELL          | STORAGE  | VMBKUP09A-DAS01                   |            |                | 
 SN400-201326-0056                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N1                     |            |                | 
 SN400-201326-0053                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N2                     |            |                | 
 SN400-201326-0051                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N3                     |            |                | 
 SN400-301410-0307                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N4                     |            |                | 
 SN400-301410-0296                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N5                     |            |                | 
 SN400-301610-0044                                              |                   |                   |            | EMC           | STORAGE  | CHISILON01-N6                     |            |                | 
 JWXNM181800834  JWXNM182401088  JWXNM181900254  JWXNM182401110 |                   |                   |            | EMC           | STORAGE  | CHISILON03 22  21  20  19         |            |                | 
 JWXNM184900871  JWXNM184901339  JWXNM184900888  JWXNM184901265 |                   |                   |            | EMC           | STORAGE  | CHISILON03-23   27  24   26       |            |                | 
 JWXNM184900891   JWXNM184901361                                |                   |                   |            | EMC           | STORAGE  | CHISILON03-25  28                 |            |                | 
 SN400-201415-0088                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N1                     |            |                | 
 JWXYE164500117                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N10                    |            |                | 
 JWXYE164600100                                                 | JWXYE164600100    |                   |            | EMC           | STORAGE  | CHISILON03-N11                    | PUR1078966 |                | 
 JWXYE171700110                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N12                    |            |                | 
 JWXYE171700133                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N13                    |            |                | 
 JWXYE171700118                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N14                    |            |                | 
 JWXYE172200115                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N15                    |            |                | 
 JWXYE171700113                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N16                    |            |                | 
 FCNYE181900002                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N17                    |            |                | 
 FCNYE181900033                                                 |                   |                   |            | EMC           | STORAGE  | CHISILON03-N18                    |            |                | 
 SN400-201433-0114                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N2                     |            |                | 
 SN400-201433-0116                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N3                     |            |                | 
 SN400-301524-0131                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N4                     |            |                | 
 SN400-301549-0035                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N5                     |            |                | 
 SN400-301601-0007                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N6                     |            |                | 
 SN400-301545-0012                                              |                   |                   |            | EMC           | STORAGE  | CHISILON03-N7                     |            |                | 
 APMYE164800004                                                 | APMYE164800004    |                   |            | EMC           | STORAGE  | CHISILON03-N8                     | PUR1078966 |                | 
 APMYE164800005                                                 | APMYE164800005    |                   |            | EMC           | STORAGE  | CHISILON03-N9                     | PUR1078966 |                | 
 JWXNM181900260/182800243/181900260/182800243                   |                   |                   |            | EMC           | STORAGE  | EVISILON 19  20  21  22           |            |                | 
 JWXNM184200947/JWXNM184200733                                  |                   |                   |            | EMC           | STORAGE  | EVISILON 23 AND 24                |            |                | 
 JWXNM184200734/JWXNM184200711                                  |                   |                   |            | EMC           | STORAGE  | EVISILON 27 AND 28                |            |                | 
 JWXNM184900865/184900841/184900903/184900874                   |                   |                   |            | EMC           | STORAGE  | EVISILON 31  32  33  34           |            |                | 
 JWXNM184900865/JWXNM184900841                                  |                   |                   |            | EMC           | STORAGE  | EVISILON 35 AND 36                |            |                | 
                                                                |                   |                   |            | EMC           | STORAGE  | EVISILON 37  38  39  40           |            |                | 
                                                                |                   |                   |            | EMC           | STORAGE  | EVISILON 37  38  39  40           |            |                | 
 SN400-201325-0274                                              |                   |                   |            | EMC           | STORAGE  | EVISILON01-N1                     |            |                | 
 SN400-201325-0275                                              |                   |                   |            | EMC           | STORAGE  | EVISILON01-N2                     |            |                | 
 SN400-201325-0276                                              |                   |                   |            | EMC           | STORAGE  | EVISILON01-N3                     |            |                | 
 SN400-301410-0305                                              |                   |                   |            | EMC           | STORAGE  | EVISILON01-N4                     |            |                | 
 SN400-301610-0046                                              | SN400-301610-0046 |                   |            | EMC           | STORAGE  | EVISILON01-N5                     | PUR0967072 |                | 
 SX400-301233-0357                                              |                   |                   |            | EMC           | STORAGE  | EVISILON02-N1                     |            |                | 
 SX400-301243-0120                                              |                   |                   |            | EMC           | STORAGE  | EVISILON02-N2                     |            |                | 
 SX400-301233-0355                                              |                   |                   |            | EMC           | STORAGE  | EVISILON02-N3                     |            |                | 
 SX400-301409-0146                                              |                   |                   |            | EMC           | STORAGE  | EVISILON02-N4                     |            |                | 
 SN400-201433-0115                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N1                     |            |                | 
 JWXYE164600005                                                 | JWXYE164600005    |                   |            | EMC           | STORAGE  | EVISILON03-N10                    | PUR1078966 |                | 
 JWXYE164600094                                                 | JWXYE164600094    |                   |            | EMC           | STORAGE  | EVISILON03-N11                    | PUR1078966 |                | 
 JWXYE172200019                                                 | JWXYE172200019    |                   |            | EMC           | STORAGE  | EVISILON03-N12                    | PUR1179611 |                | 
 JWXYE172200022                                                 | JWXYE172200022    |                   |            | EMC           | STORAGE  | EVISILON03-N13                    | PUR1179611 |                | 
 JWXYE172100026                                                 |                   |                   |            | EMC           | STORAGE  | EVISILON03-N14                    |            |                | 
 JWXYE172200017                                                 | JWXYE172200017    |                   |            | EMC           | STORAGE  | EVISILON03-N15                    | PUR1179611 |                | 
 FCNYE181400028                                                 |                   |                   |            | EMC           | STORAGE  | EVISILON03-N18                    |            |                | 
 SN400-201433-0118                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N2                     |            |                | 
 SN400-201433-0117                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N3                     |            |                | 
 SN400-301525-0053                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N4                     |            |                | 
 SN400-301543-0084                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N5                     |            |                | 
 SN400-301546-0166                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N6                     |            |                | 
 SN400-301543-0068                                              |                   |                   |            | EMC           | STORAGE  | EVISILON03-N7                     |            |                | 
 JAMYE162200157                                                 |                   |                   |            | EMC           | STORAGE  | EVISILON03-N8                     |            |                | 
 JWXYE164600058                                                 | JWXYE164600058    |                   |            | EMC           | STORAGE  | EVISILON03-N9                     | PUR1078966 |                | 
 1384607                                                        | 1384607           |                   |            | IBM           | STORAGE  | CH-TAPE-LIBRARY-3576-E9U-CHASSIS  | PUR1332004 |                | 
 1384607                                                        | 1384607           |                   |            | IBM           | STORAGE  | CH-TAPE-LIBRARY-3576-E9U-CHASSIS  | PUR1332004 |                | 
 1323470                                                        | 1323470           |                   |            | IBM           | STORAGE  | CH-TAPE-LIBRARY-3576-L5B          | PUR0670337 |                | 
 781E970                                                        |                   |                   | 781E970    | IBM           | STORAGE  | CH5030-1-ENCL 2                   |            |                | 2020-08-11
 781F009                                                        |                   |                   | 781F009    | IBM           | STORAGE  | CH5030-1-ENCL 5                   |            |                | 2020-08-11
 781F023                                                        |                   |                   | 781F023    | IBM           | STORAGE  | CH5030-1-ENCL 6                   |            |                | 2020-08-11
 781F025                                                        |                   |                   | 781F025    | IBM           | STORAGE  | CH5030-1/ENCL 3                   |            |                | 2020-08-11
 781F085                                                        |                   |                   | 781F085    | IBM           | STORAGE  | CH5030-1/ENCL 4                   |            |                | 2020-08-11
 781F076                                                        |                   |                   | 781F076    | IBM           | STORAGE  | CH5030-1/ENCL 7                   |            |                | 2020-08-11
 781E846                                                        |                   |                   | 781E846    | IBM           | STORAGE  | CH5030-1MGMT                      |            |                | 2020-08-11
 7809049                                                        |                   |                   | 7809049    | IBM           | STORAGE  | EV3700-3-ENCL 2                   |            |                | 2020-07-10
 7809048                                                        |                   |                   | 7809048    | IBM           | STORAGE  | EV3700-3-ENCL 3                   |            |                | 2020-07-10
 7809041                                                        |                   |                   | 7809041    | IBM           | STORAGE  | EV3700-3-ENCL 4                   |            |                | 2020-07-10
 7809035                                                        |                   |                   | 7809035    | IBM           | STORAGE  | EV3700-3-ENCL 5                   |            |                | 2020-07-10
 7808463                                                        |                   |                   | 7808463    | IBM           | STORAGE  | EV3700-3MGMT                      |            |                | 2020-07-10
 7872448                                                        |                   |                   | 7872448    | IBM           | STORAGE  | EV3700-COLLAB-ENCL 2              |            |                | 2020-04-16
 7872229                                                        |                   |                   | 7872229    | IBM           | STORAGE  | EV3700-COLLAB-ENCL 3              |            |                | 2020-04-16
 7872445                                                        |                   |                   | 7872445    | IBM           | STORAGE  | EV3700-COLLAB-ENCL 4              |            |                | 2020-04-16
