                           dct_serial                           |  fin_ops_serial   | idrac_service_tag | ibm_serial |   dct_make    | dct_type |             dct_name              | fin_ops_po | idrac_end_date | ibm_end_date 
 HHPFHB2                                                        | HHPFHB2           |                   |            | DELL          | SERVER   | CHVSRX02                          | PUR1001739 |                | 
 236P182                                                        |                   | 236P182           |            | DELL          | SERVER   | COIPROD                           |            | 10/14/2020     | 
 235T182                                                        |                   | 235T182           |            | DELL          | SERVER   | COIPRODDATA                       |            | 10/14/2020     | 
 235S183                                                        |                   |                   |            | DELL          | SERVER   | COITEST                           |            |                | 
 235V182                                                        |                   | 235V182           |            | DELL          | SERVER   | COITESTDATA                       |            | 10/14/2020     | 
 826MKB2                                                        |                   | 826MKB2           |            | DELL          | SERVER   | ERATABLEAU                        |            | 7/13/2020      | 
 DG12182                                                        |                   | DG12182           |            | DELL          | SERVER   | EVADSDC4                          |            | 11/30/2020     | 
 2JPN3V1                                                        | 2JPN3V1           | 2JPN3V1           |            | DELL          | SERVER   | EVAIRWAVE                         | PUR0447613 | 4/30/2018      | 
 2JPN3V1                                                        | 2JPN3V1           | 2JPN3V1           |            | DELL          | SERVER   | EVAIRWAVE                         | PUR0447613 | 4/30/2018      | 
 BZNN3V1                                                        | BZNN3V1           |                   |            | DELL          | SERVER   | EVAIRWAVE2                        | PUR0447586 |                | 
 5XQ3V52                                                        | 5XQ3V52           | 5XQ3V52           |            | DELL          | SERVER   | EVAIRWAVE3                        | PUR0886039 | 8/17/2020      | 
 5XQ3V52                                                        | 5XQ3V52           | 5XQ3V52           |            | DELL          | SERVER   | EVAIRWAVE3                        | PUR0886039 | 8/17/2020      | 
 53NGXQ1                                                        | 53NGXQ1           | 53NGXQ1           |            | DELL          | SERVER   | EVCSPDPM01                        | PUR0335239 | 7/24/2018      | 
 53NJXQ1                                                        | 53NJXQ1           | 53NJXQ1           |            | DELL          | SERVER   | EVCSPDPM02                        | PUR0335239 | 7/24/2018      | 
 5G79ZV1                                                        | 5G79ZV1           |                   |            | DELL          | SERVER   | EVCSPDPM03                        | PUR0527753 |                | 
 3YQTGX1                                                        | 3YQTGX1           | 3YQTGX1           |            | DELL          | SERVER   | EVCSPMBX01                        | PUR0596893 | 6/19/2019      | 
 3YQSGX1                                                        | 3YQSGX1           | 3YQSGX1           |            | DELL          | SERVER   | EVCSPMBX02                        | PUR0596893 | 6/19/2019      | 
 3YPVGX1                                                        | 3YPVGX1           | 3YPVGX1           |            | DELL          | SERVER   | EVCSPMBX03                        | PUR0596893 | 6/19/2019      | 
 DRW48Y1                                                        |                   | DRW48Y1           |            | DELL          | SERVER   | EVCSPMBX04                        |            | 8/20/2019      | 
 4CPJV12                                                        | 4CPJV12           | 4CPJV12           |            | DELL          | SERVER   | EVCSPMBX05                        | PUR0737189 | 6/22/2020      | 
 4CPJV12                                                        | 4CPJV12           | 4CPJV12           |            | DELL          | SERVER   | EVCSPMBX05                        | PUR0737189 | 6/22/2020      | 
