            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
 CHCSPDPM04-DAS04A                 | STORAGE            | DELL             | POWERVAULT MD1220                     | GY6WLS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:48-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM04-DAS04B                 | STORAGE            | DELL             | POWERVAULT MD1220                     | GY5WLS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:49-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM04-DAS04C                 | STORAGE            | DELL             | POWERVAULT MD1220                     | H4QKKS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:49-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM04-DAS04D                 | STORAGE            | DELL             | POWERVAULT MD1220                     | GY6SLS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:49-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM-DAS01A                   | STORAGE            | DELL             | POWERVAULT MD1200                     | 7XL92R1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:29-05           |                     |                     | CHDC     | 0215.25
 CHCSPDPM-DAS01B                   | STORAGE            | DELL             | POWERVAULT MD1200                     | 9XL92R1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:29-05           |                     |                     | CHDC     | 0215.25
 CHCSPDPM-DAS01C                   | STORAGE            | DELL             | POWERVAULT MD1220                     | GY5ZLS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:30-05           |                     |                     | CHDC     | 0215.25
 CHCSPDPM-DAS02A                   | STORAGE            | DELL             | POWERVAULT MD1200                     | 8XL92R1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:49-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM-DAS02B                   | STORAGE            | DELL             | POWERVAULT MD1200                     | 6XL92R1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:50-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM-DAS02C                   | STORAGE            | DELL             | POWERVAULT MD1220                     | GY5YLS1                                                        |                 |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:50-05           |                     |                     | CHDC     | 0215.28
