             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 BIGBEND                       | SERVER            | DELL             | POWEREDGE R620          | F2HXHX1                                      | S34     | ADMIN
 BRYCE                         | SERVER            | DELL             | POWEREDGE R620          | F2HWHX1                                      | O34     | ADMIN
 COIPROD                       | SERVER            | DELL             | POWEREDGE R730XD        | 236P182                                      | T39     | ADMIN
 COIPRODDATA                   | SERVER            | DELL             | POWEREDGE R730XD        | 235T182                                      | T39     | ADMIN
 COITEST                       | SERVER            | DELL             | POWEREDGE R730XD        | 235S183                                      | T39     | ADMIN
 COITESTDATA                   | SERVER            | DELL             | POWEREDGE R730XD        | 235V182                                      | T39     | ADMIN
 ERATABLEAU                    | SERVER            | DELL             | POWEREDGE 1750          | 826MKB2                                      | U39     | ADMIN
 EVADSDC4                      | SERVER            | DELL             | POWEREDGE R630          | DG12182                                      | S34     | ADMIN
 EVAIRWAVE                     | SERVER            | DELL             | POWEREDGE R720XD        | 2JPN3V1                                      | S39     | ADMIN
 EVAIRWAVE2.CI                 | SERVER            | DELL             | POWEREDGE R720XD        | BZNN3V1                                      | S39     | ADMIN
 EVAIRWAVE3.CI                 | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ3V52                                      | S39     | ADMIN
 EVARCR11                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVSN23                                      | S34     | ADMIN
 EVARCR12                      | SERVER            | DELL             | POWEREDGE R640          | 6ZWRN23                                      | S34     | ADMIN
 EVARCR13                      | SERVER            | DELL             | POWEREDGE R640          | 6ZWQN23                                      | S34     | ADMIN
 EVARCR14                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTRN23                                      | S34     | ADMIN
 EVARCR15                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSQN23                                      | S34     | ADMIN
 EVARCR16                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRQN23                                      | S34     | ADMIN
 EVCSPDPM01                    | SERVER            | DELL             | POWEREDGE R710          | 53NGXQ1                                      | P34     | ADMIN
 EVCSPDPM02                    | SERVER            | DELL             | POWEREDGE R710          | 53NJXQ1                                      | T34     | ADMIN
 EVCSPDPM03                    | SERVER            | DELL             | POWEREDGE R720          | 5G79ZV1                                      | P34     | ADMIN
 EVCSPMBX01                    | SERVER            | DELL             | POWEREDGE R720          | 3YQTGX1                                      | R34     | ADMIN
 EVCSPMBX02                    | SERVER            | DELL             | POWEREDGE R720          | 3YQSGX1                                      | R34     | ADMIN
 EVCSPMBX03                    | SERVER            | DELL             | POWEREDGE R720          | 3YPVGX1                                      | R34     | ADMIN
