name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
H62.24 NODE 0-23,SERVER,DELL,POWEREDGE 1950,DRD1DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:51-04,,,EVDC,H62
H62.25 SERVER,SERVER,EXXACT,1 RUS,,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2017-08-02 09:47:23-04,,,EVDC,H62
H62.34 STORAGE,STORAGE,DELL,POWERVAULT MD1000-SB,3NT4QF1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:22-04,,,EVDC,H62
H62.37 NODE NAS 0-0,SERVER,DELL,POWEREDGE 2950,3J8BNF1,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:39:22-04,,,EVDC,H62
H62.39 TIN HEAD NODE,SERVER,DELL,POWEREDGE 2950,9RPNDD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:44:26-04,,,EVDC,H62
HAL,SERVER,DELL,POWEREDGE 2850,4L0K891,129.105.26.15,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2013-12-19 10:43:25-05,,,EV LEV G156,0G.01.01
HARAR,SERVER,DELL,POWEREDGE R610,DLBWJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:23:22-04,,,EV TECH LG87,02
HARVEY,SERVER,SILICON MECHANICS,SILICON,SM51954,,,PRODUCTION,,SO,MEDICAL SCHOOL,RAMI JABAKHANJI,2018-08-23 17:03:57-04,,,EVDC,G58
HEAD NODE,SERVER,EXXACT,1 RUS,,,,RESEARCH,,SO,MCC CHEMICAL AND BIOLOGICAL ENGINEERING - BROADBELT,HEATHER MAYS,2018-05-15 08:40:21-04,,,EVDC,N58
HENDRY NES VDC 48 A/B,ELECTRICAL DEVICE,EXXACT,1 RUS,0413326,,,PROVISIONING,,SO,NUIT-CI-TNS-DATANETWORK,,2015-02-17 03:46:03-05,,,CH 8602 241,0200.11
HENDRY POWER A,OTHER,EXXACT,1 RUS,,,,PROVISIONING,,SO,NUIT-CI-SO-SERVICEOPERATION,,2015-05-20 10:31:41-04,,,CH 8602 243,212.05
HENDRY POWER B,OTHER,EXXACT,3 RUS,,,,PROVISIONING,,SO,NUIT-CI-SO-SERVICEOPERATION,,2015-05-20 10:32:34-04,,,CH 8602 243,212.05
HEON-7148-SL,NETWORK SWITCH,ARISTA NETWORKS,DCS-7148SX,,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-04-08 07:46:43-04,,,CH 8602 243,212.01
HEON-I7SL1,CONNECTION DEVICE,EXXACT,4 RUS,,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-04-08 07:42:08-04,,,CH 8602 243,212.01
HEON-I7SL2,CONNECTION DEVICE,EXXACT,4 RUS,,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-04-08 07:41:16-04,,,CH 8602 243,212.01
HEON-KVM-S1,KVM,EXXACT,1 RUS,0100179967,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-04-08 07:44:02-04,,,CH 8602 243,212.01
HEON-SMC-S1,,SMC,TIGER SWITCH 1000,T164716468,,,,,SO,NUIT-CI-TNS-DATANETWORK,,2015-03-26 05:57:29-04,,,CH 8602 243,212.01
HERC NODE-001,SERVER,PSSC LABS,1 RU SERVER PSSC,356294,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:14:59-04,,,EV TECH LG87,09
HERC NODE-002,SERVER,PSSC LABS,1 RU SERVER PSSC,356293,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:15:22-04,,,EV TECH LG87,09
HERC NODE-003,SERVER,PSSC LABS,1 RU SERVER PSSC,356291,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:15:39-04,,,EV TECH LG87,09
HERC NODE-004,SERVER,PSSC LABS,1 RU SERVER PSSC,356289,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:15:59-04,,,EV TECH LG87,09
