name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
ATT FROM BTS ENGELHART TECH CENTER,DAS,MOBILE ACCESS,330 REMOTE UNIT,,,,,,,,,2014-03-26 22:07:03-04,,,EV LEV G156,0G.02.02
ATT FROM BTS ENGLEHART LIBRARY,DAS,MOBILE ACCESS,330 REMOTE UNIT,,,,,,,,,2014-03-26 22:40:17-04,,,EV LEV G156,0G.02.03
ATT - T MOBILE LIBRARY,DAS,MOBILE ACCESS,RADIO INTERFACE UNIT,,,,,,,,,2014-03-26 22:38:24-04,,,EV LEV G156,0G.02.03
ATT-TMOBILE TECH CENTER,DAS,MOBILE ACCESS,RADIO INTERFACE UNIT,,,,,,,,,2014-03-26 22:04:24-04,,,EV LEV G156,0G.02.02
ATT-T MOBILE-VZW LIBRARY,DAS,MOBILE ACCESS,330 REMOTE UNIT,,,,,,,,,2014-03-26 22:37:17-04,,,EV LEV G156,0G.02.03
ATT-TMOBILE-VZW TECH CENTER,DAS,MOBILE ACCESS,330 REMOTE UNIT,,,,,,,,,2014-03-26 22:03:10-04,,,EV LEV G156,0G.02.02
AUDIO CODES - MEDIANT 1000 - NET,,AUDIOCODES,MEDIANT 1000,,,,,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2014-11-19 12:32:15-05,,,EV LEV G156,0G.02.07
AUDIO CODES - MEDIANT 1000 - NET2,,AUDIOCODES,MEDIANT 1000,,,,,INFRASTRUCTURE,UKN,NUIT-CI-TNS-VOICENETWORK,,2014-11-19 12:26:33-05,,,EV LEV G156,0G.02.07
AUTOMATION ALARM1,OTHER,DIGITAL MONITORING PRODUCTS,SCS-1R,C11350,,,PRODUCTION,,SO,UNIVERSITY POLICE AND PARKING,,2019-09-13 14:51:41-04,,,CH 8602 234,0215.21
AUTOMATION ALARM 2,OTHER,DIGITAL MONITORING PRODUCTS,SCS-1R,C11380,,,PRODUCTION,,SO,UNIVERSITY POLICE AND PARKING,,2019-09-13 14:52:42-04,,,CH 8602 234,0215.21
AVALON,SERVER,DELL,POWEREDGE R620,1CT7CZ1,,,PRODUCTION,COLOCATION,SO,LIBRARY,BOB TRAUTVETTER,2018-10-23 10:57:32-04,,,EVDC,R39
AVOCART- ICCS-CHCG1-1,CONNECTION DEVICE,AVOCENT,ACS 5016,N/A,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-13 04:24:34-04,,,CH 8602 241,213.06
BACKHAUL LAN SW01,NETWORK SWITCH,HP,PROCURVE 2610-24,CN133ZTOVK,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2014-07-31 13:03:54-04,,,EV LEV G156,0G.01.15
BACKHAUL LAN SW02,NETWORK SWITCH,HP,PROCURVE 2610-24,CN133ZT103,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2014-07-31 13:06:52-04,,,EV LEV G156,0G.01.15
BACKUP1,SERVER,CODE42,M1,9L5L382,,,PRODUCTION,,SO,NUIT-TSS-SUPPORTSERVICES,,2018-02-23 12:33:50-05,420824,,EVDC,T39
BACKUP2 MASTER,STORAGE,PROE HARDWARE,PRO472,,,,PRODUCTION,HOSTED,SO,NUIT-TSS-SUPPORTSERVICES,,2017-12-12 16:51:29-05,,,EVDC,U39
BACKUP2 SLAVE,STORAGE,PROE HARDWARE,PRO490,AAG2915005018,,,PRODUCTION,,SO,NUIT-TSS-SUPPORTSERVICES,,2017-12-12 16:51:50-05,,,EVDC,U39
BACKUP3,STORAGE,CODE42,S2-48,9855182,,,PRODUCTION,,SO,NUIT-TSS-SUPPORTSERVICES,,2018-02-23 12:33:31-05,420824,,EVDC,T39
BACKUP5,STORAGE,CODE42,S2-48,9867182,,,PRODUCTION,,SO,NUIT-TSS-SUPPORTSERVICES,,2018-02-23 12:32:28-05,420824,,EVDC,T39
BACKUP_VIDYO,SERVER APPLIANCES,VIDYO,VIDYOPORTAL,,129.105.224.36,,PRODUCTION,HOSTED,SO,NUIT-ART-BLUEJEANS,MICHAEL J CURTIS,2018-06-01 13:08:33-04,,,EV LEV G156,0G.02.09
BARACO,SERVER,DELL,POWEREDGE R610,DL6YJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 12:39:55-04,,,EV TECH LG87,02
BARRA,NETWORK FIREWALL,BARRACUDA NETWORKS,SPAM FIREWALL 300,BAR-SF-544478,,,RESEARCH,,,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 09:12:40-04,,,EV TECH LG87,01
BELLCOM MODEM,UNKNOWN,EXXACT,SHELF 2 RU,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2017-08-25 10:55:46-04,,,EV LEV G156,0G.02.09
BERGENDAL,SERVER,DELL,POWEREDGE R610,DL6WJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:52:51-04,,,EV TECH LG87,02
BHN-N002,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:39:52-05,,,EV TECH LG87,04
BHN-N003,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,CHRISTOPHER M. WOLVERTON,2018-05-15 12:58:09-04,,,EV TECH LG87,04
BHN-N004,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:39:59-05,,,EV TECH LG87,04
BHN-N005,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:02-05,,,EV TECH LG87,04
BHN-N006,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:07-05,,,EV TECH LG87,04
BHN-N007,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:11-05,,,EV TECH LG87,04
BHN-N008,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:18-05,,,EV TECH LG87,04
BHN-N009,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:42-05,,,EV TECH LG87,04
BHN-N010,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:40:53-05,,,EV TECH LG87,04
BHN-N011,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:14-05,,,EV TECH LG87,04
BHN-N012,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:43-05,,,EV TECH LG87,04
BHN-N013,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:46-05,,,EV TECH LG87,04
BHN-N014,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:51-05,,,EV TECH LG87,04
BHN-N015,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:54-05,,,EV TECH LG87,04
BHN-N016,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2018-05-15 12:58:35-04,,,EV TECH LG87,04
BHN-N017,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:41:57-05,,,EV TECH LG87,04
BHN-N018,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:01-05,,,EV TECH LG87,04
BHN-N019,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:08-05,,,EV TECH LG87,04
BHN-N020,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:12-05,,,EV TECH LG87,04
BHN-N021,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:17-05,,,EV TECH LG87,04
BHN-N022,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:23-05,,,EV TECH LG87,04
BHN-N023,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:27-05,,,EV TECH LG87,04
BHN-N024,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:31-05,,,EV TECH LG87,04
BHN-N025,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:34-05,,,EV TECH LG87,04
BHN-N026,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:42:37-05,,,EV TECH LG87,04
BHN-N027,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:43:49-05,,,EV TECH LG87,04
BHN-N028,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:43:54-05,,,EV TECH LG87,04
BHN-N029,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:43:56-05,,,EV TECH LG87,04
BHN-N030,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:00-05,,,EV TECH LG87,04
BHN-N031,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:03-05,,,EV TECH LG87,04
BHN-N032,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:07-05,,,EV TECH LG87,04
BHN-N033,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:13-05,,,EV TECH LG87,04
BHN-N034,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:16-05,,,EV TECH LG87,04
BHN-N035,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:19-05,,,EV TECH LG87,04
BHN-N036,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2012-11-15 14:44:22-05,,,EV TECH LG87,04
BHN-N037,SERVER,MICOWAY,1U SERVERMW,,,,RESEARCH,,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2018-05-15 12:59:08-04,,,EV TECH LG87,04
BIGBEND,SERVER,DELL,POWEREDGE R620,F2HXHX1,129.105.106.22,SYMANTEC MEDIA SERVERS,PRODUCTION,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-04-02 17:30:12-04,,,EVDC,S34
BIOPHOTONICS1,SERVER,PSSC LABS,3 RU SERVER PSSC,LO18501C7260410,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - BACKMAN,JEREMY D. ROGERS  ILKER R. CAPOGLU,2017-08-21 11:15:42-04,,,EV TECH LG87,07
BISMUTH NODE 1,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080002,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:42:42-05,632372,,EVDC,O52
BISMUTH NODE 2,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080008,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:43:07-05,632372,,EVDC,O52
BISMUTH NODE 3,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080007,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:43:41-05,632372,,EVDC,O52
BISMUTH NODE 4,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080003,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:45:57-05,632372,,EVDC,O52
BISMUTH NODE 5,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080006,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:46:26-05,632372,,EVDC,O52
BISMUTH NODE 6,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080004,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:46:46-05,632372,,EVDC,O52
BISMUTH NODE 7,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080005,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 14:47:13-05,632372,,EVDC,O52
BISMUTH NODE 8,SERVER,INTEL,2U MODULAR OPA 4-NODE SERVER,1137080001,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 13:41:17-05,632372,,EVDC,O52
BISMUTH OMNIFIBER SWITCH,NETWORK SWITCH,INTEL,OMNI-PATH EDGE SWITCH 100 SERIES 48 PORT,USFU391600136,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 13:52:12-05,632372,,EVDC,O52
BISMUTH SWITCH,NETWORK SWITCH,NETGEAR,GS748TS,3H35727R80D63,,,RESEARCH,,CONTACT,WCAS CHEMISTRY - SHIOZAKI,,2017-12-15 15:28:24-05,,,EVDC,O52
BITS NTP,SERVER APPLIANCES,SYMMETRICOM,TIME PROVIDER 1100,090-58061-02,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2015-01-30 11:54:57-05,,,EV LEV G156,0G.02.09
BLUE PLANT,SERVER,DELL,POWEREDGE R630,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 21:52:53-04,,,CH 8602 241,204.04
BNT RACK SWITCH P19 01,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A0584,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:30:20-05,,,EVDC,P19-L
BNT RACK SWITCH P19 02,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8579,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:30:29-05,,,EVDC,P19-L
BNT RACK SWITCH R19 01,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8627,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:30:36-05,,,EVDC,R19-L
BNT RACK SWITCH R19 02,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8982,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:30:45-05,,,EVDC,R19-L
BNT RACK SWITCH R19 03,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8983,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:30:52-05,,,EVDC,R19-L
BNT RACK SWITCH U19 01,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8987,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:31:01-05,,,EVDC,U19-L
BNT RACK SWITCH U19 02,NODE SWITCH,IBM,BNT RACKSWITCH G8000,23A8994,,,HIGH PERFORMANCE COMPUTING,INFRASTRUCTURE,PIPS,NUIT-CI-PIPS-HPC,JOHN WALSH,2018-03-02 17:31:10-05,,,EVDC,U19-L
BOB,UNKNOWN,COMPUMASTER,PC,RC360KKN11100500476,,,PRODUCTION,,SO,MEDICAL SCHOOL,RAMI JABAKHANJI,2018-08-23 17:29:53-04,,,EVDC,G58
BORDER GTWY 01,,MOTOROLA,GGM 8000,425CHU0105,,,,,NT,NUIT-CI-TNS-DATANETWORK,,2014-08-13 11:40:01-04,,,EV LEV G156,0G.01.16
BOURBON,SERVER,DELL,POWEREDGE R610,DL7XJM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 10:51:37-04,,,EV TECH LG87,02
BRIDGIT,SERVER,DELL,POWEREDGE 2850,3DF0C91,,,PRODUCTION,COLOCATION,SO,SCHOOL OF CONTINUING STUDIES,,2018-08-21 15:03:11-04,,,EVDC,U48
BRIX NTP,SERVER,EXXACT,1 RUS,,,,N/A,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2015-01-30 12:35:14-05,,,EV LEV G156,0G.0E.14
BRIXWORX_ITTNS,SERVER,DELL,POWEREDGE 2950,3R6LBG1,165.124.24.197,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2018-05-08 12:43:15-04,,,EV LEV G156,0G.01.02
BROCADE1,NETWORK SWITCH,BROCADE,6505 SWITCH,BRW2525J00P,,,RESEARCH,,SITE_ADMINISTRATORS,KELLOGG OFFICE RESEARCH SUPPORT,,2019-10-18 13:06:41-04,,,EVDC,G43
BROCADE2,NETWORK SWITCH,BROCADE,SWITCH 6510,BRW2525J00J,,,DISTRIBUTION NETWORK,,,KELLOGG OFFICE RESEARCH SUPPORT,,2019-07-17 17:43:44-04,,,EVDC,G48
BUPST,SERVER,DELL,POWEREDGE R610,9L2NNM1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 09:01:41-04,,,EV TECH LG87,01
BUTTER,SERVER,DELL,POWEREDGE R730XD,C14TCH2,,,PRODUCTION,COLOCATION,SO,SCHOOL OF COMMUINCATIONS,JOHN ARENDS,2018-05-08 12:43:47-04,490346,,EVDC,Q52
BW01.MASTER.NODE,SERVER,PSSC LABS,3 RU SERVER PSSC,355927,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 19:52:19-04,,,EV TECH LG87,07
BW01.N001,SERVER,PSSC LABS,1 RU SERVER PSSC,355931,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:18:43-04,,,EV TECH LG87,07
BW01.N002,SERVER,PSSC LABS,1 RU SERVER PSSC,355928,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:19:06-04,,,EV TECH LG87,07
BW01.N003,SERVER,PSSC LABS,1 RU SERVER PSSC,355950,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:15:54-04,,,EV TECH LG87,07
BW01.N004,SERVER,PSSC LABS,1 RU SERVER PSSC,355949,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:19:31-04,,,EV TECH LG87,07
BW01.N005,SERVER,PSSC LABS,1 RU SERVER PSSC,355933,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 19:58:35-04,,,EV TECH LG87,07
BW01.N006,SERVER,PSSC LABS,1 RU SERVER PSSC,355945,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:20:02-04,,,EV TECH LG87,07
BW01.N007,SERVER,PSSC LABS,1 RU SERVER PSSC,355946,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:20:22-04,,,EV TECH LG87,07
BW01.N008,SERVER,PSSC LABS,1 RU SERVER PSSC,355947,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:20:43-04,,,EV TECH LG87,07
BW01.N009,SERVER,PSSC LABS,1 RU SERVER PSSC,355948,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:21:55-04,,,EV TECH LG87,07
BW01.N010,SERVER,PSSC LABS,1 RU SERVER PSSC,355951,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:18:15-04,,,EV TECH LG87,07
BW01.N011,SERVER,PSSC LABS,1 RU SERVER PSSC,355936,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:22:41-04,,,EV TECH LG87,07
BW01.N012,SERVER,PSSC LABS,1 RU SERVER PSSC,355937,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:23:04-04,,,EV TECH LG87,07
BW01.N013,SERVER,PSSC LABS,1 RU SERVER PSSC,355938,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:23:30-04,,,EV TECH LG87,07
BW01.N014,SERVER,PSSC LABS,1 RU SERVER PSSC,355939,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:09:52-04,,,EV TECH LG87,07
BW01.N015,SERVER,PSSC LABS,1 RU SERVER PSSC,355935,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 19:59:31-04,,,EV TECH LG87,07
