            device_name             | shipped_date |  end_date  | service_tag | dct_serial | dct_make |     dct_model     | dct_type |           dct_name            
 EVESXCLOUD32-IDRAC.ITCS.PRIVATE    | 6/18/2015    | 6/18/2020  | H17JR52     | H17JR52    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD32
 EVESXCLOUD33-IDRAC.ITCS.PRIVATE    | 6/18/2015    | 6/18/2020  | H17KR52     | H17KR52    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD33
 EVESXCLOUD34-IDRAC.ITCS.PRIVATE    | 6/3/2016     | 6/3/2021   | HHPHHB2     | HHPHHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD34
 EVESXCLOUD35-IDRAC.ITCS.PRIVATE    | 6/3/2016     | 6/3/2021   | HHPJHB2     | HHPJHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD35
 EVESXCLOUD36-IDRAC.ITCS.PRIVATE    | 7/8/2017     | 7/8/2021   | HRK6GK2     | HRK6GK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD36
 EVESXCLOUD37-IDRAC.ITCS.PRIVATE    | 7/8/2017     | 7/8/2021   | HRK7GK2     | HRK7GK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD37
 EVESXCLOUD38-IDRAC.ITCS.PRIVATE    | 6/21/2017    | 6/21/2021  | 84VVFK2     | 84VVFK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD38
 EVESXCLOUD39-IDRAC.ITCS.PRIVATE    | 6/21/2017    | 6/21/2021  | 84VTFK2     | 84VTFK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD39
 EVESXCLOUD40-IDRAC.ITCS.PRIVATE    | 6/21/2017    | 6/21/2021  | 84VSFK2     | 84VSFK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD40
 EVESXCLOUD41-IDRAC.ITCS.PRIVATE    | 6/21/2017    | 6/21/2021  | 84VWFK2     | 84VWFK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD41
 EVESXCLOUD42-IDRAC.ITCS.PRIVATE    | 6/21/2017    | 6/21/2021  | 84VXFK2     | 84VXFK2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD42
 EVESXCLOUD43-IDRAC.ITCS.PRIVATE    | 6/5/2016     | 6/5/2021   | HHXHHB2     | HHXHHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD43
 EVESXCLOUD44-IDRAC.ITCS.PRIVATE    | 6/5/2016     | 6/5/2021   | HHXVHB2     | HHXVHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD44
 EVESXCLOUD45-IDRAC.ITCS.PRIVATE    | 4/24/2015    | 4/24/2020  | 7Z01D42     | 7Z01D42    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD45
 EVESXCLOUD46-IDRAC.ITCS.PRIVATE    | 4/24/2015    | 4/24/2020  | 7YZXC42     | 7YZXC42    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD46
 EVESXCLOUD47-IDRAC.ITCS.PRIVATE    | 4/24/2015    | 4/24/2020  | 7YZ1D42     | 7YZ1D42    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD47
 EVESX73-IDRAC.ITCS.PRIVATE         | 5/4/2015     | 5/4/2020   | 7ZS5D42     | 7ZS5D42    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD48
 EVESXCLOUD49-IDRAC.ITCS.PRIVATE    | 4/24/2015    | 4/24/2020  | 7YZZC42     | 7YZZC42    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD49
 EVESXTNSC01N02-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ4V52     | 5XQ4V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVESXTNSC01N02
 EVESXTNSC01N02-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ4V52     | 5XQ4V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVESXTNSC01N02
 EVESXTNSC01N03-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ5V52     | 5XQ5V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVESXTNSC01N03
 EVESXTNSC01N03-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ5V52     | 5XQ5V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVESXTNSC01N03
 EVITCSPDC-IDRAC.ITCS.PRIVATE       | 8/10/2018    | 8/9/2022   | 12S3HQ2     | 12S3HQ2    | DELL     | POWEREDGE R640    | SERVER   | EVITCSPDC
 EVITCSPDC-IDRAC.ITCS.PRIVATE       | 8/10/2018    | 8/9/2022   | 12S3HQ2     | 12S3HQ2    | DELL     | POWEREDGE R640    | SERVER   | EVITCSPDC
 EVNBMS01-IDRAC.ITCS.PRIVATE        | 8/23/2018    | 8/22/2022  | 4GS9HQ2     | 4GS9HQ2    | DELL     | POWEREDGE R640    | SERVER   | EVNBMS01
 EVNBMS02-IDRAC.ITCS.PRIVATE        | 8/23/2018    | 8/22/2022  | 4GRHHQ2     | 4GRHHQ2    | DELL     | POWEREDGE R640    | SERVER   | EVNBMS02
 EVNBMSTR01-IDRAC.ITCS.PRIVATE      | 8/23/2018    | 8/22/2022  | 4GSCHQ2     | 4GSCHQ2    | DELL     | POWEREDGE R640    | SERVER   | EVNBMSTR01
 EVPUMHOST-IDRAC.ITCS.PRIVATE       | 3/29/2016    | 3/29/2020  | 7N98FB2     | 7N98FB2    | DELL     | POWEREDGE R630    | SERVER   | EVPUMHOST
 EVRACP10-IDRAC.ITCS.PRIVATE        | 4/30/2014    | 5/1/2019   | HP7YK02     | HP7YK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACP10
                                    |              |            |             | 6ZSRN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACP11
                                    |              |            |             | 6ZSSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACP12
                                    |              |            |             | 6ZRSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACP13
                                    |              |            |             | 6ZVQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACP14
 EVRACP6-IDRAC.ITCS.PRIVATE         | 4/30/2014    | 5/1/2019   | HP6TK02     | HP6TK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACP6
 EVRACP7-IDRAC.ITCS.PRIVATE         | 4/30/2014    | 5/1/2019   | HP9TK02     | HP9TK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACP7
 EVRACP8-IDRAC.ITCS.PRIVATE         | 4/30/2014    | 5/1/2019   | HP8XK02     | HP8XK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACP8
 EVRACP9-IDRAC.ITCS.PRIVATE         | 4/30/2014    | 5/1/2019   | HP6WK02     | HP6WK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACP9
 EVRACR7-IDRAC.ITCS.PRIVATE         | 10/28/2014   | 10/28/2020 | D357P22     | D357P22    | DELL     | POWEREDGE R620    | SERVER   | EVRACR07
 EVRACR8-IDRAC.ITCS.PRIVATE         | 10/28/2014   | 10/28/2020 | D345P22     | D345P22    | DELL     | POWEREDGE R620    | SERVER   | EVRACR08
 EVRACR10-IDRAC.ITCS.PRIVATE        | 10/28/2014   | 10/28/2020 | D354P22     | D354P22    | DELL     | POWEREDGE R620    | SERVER   | EVRACR10
                                    |              |            |             | 6ZVSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR11
                                    |              |            |             | 6ZWRN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR12
                                    |              |            |             | 6ZWQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR13
                                    |              |            |             | 6ZTRN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR14
                                    |              |            |             | 6ZSQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR15
                                    |              |            |             | 6ZRQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACR16
 EVRACR6-IDRAC.ITCS.PRIVATE         | 10/28/2014   | 10/28/2020 | D337P22     | D337P22    | DELL     | POWEREDGE R620    | SERVER   | EVRACR6
 EVRACR9-IDRAC.ITCS.PRIVATE         | 10/28/2014   | 10/28/2020 | D355P22     | D355P22    | DELL     | POWEREDGE R620    | SERVER   | EVRACR9
 EVRACT10-IDRAC.ITCS.PRIVATE        | 4/29/2014    | 4/28/2021  | HP5SK02     | HP5SK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT10
 EVRACT10-IDRAC.ITCS.PRIVATE        | 4/29/2014    | 4/28/2021  | HP5SK02     | HP5SK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT10
 EVRACT11-IDRAC.ITCS.PRIVATE        | 4/29/2014    | 4/28/2021  | HP5ZK02     | HP5ZK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT11
 EVRACT11-IDRAC.ITCS.PRIVATE        | 4/29/2014    | 4/28/2021  | HP5ZK02     | HP5ZK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT11
 EVRACT12-IDRAC.ITCS.PRIVATE        | 4/29/2016    | 4/29/2021  | G42GGB2     | G42GGB2    | DELL     | POWEREDGE R630    | SERVER   | EVRACT12
 EVRACT13-IDRAC.ITCS.PRIVATE        | 4/29/2016    | 4/29/2021  | G42HGB2     | G42HGB2    | DELL     | POWEREDGE R630    | SERVER   | EVRACT13
 EVRACT14-IDRAC.ITCS.PRIVATE        | 4/29/2016    | 4/29/2021  | G42JGB2     | G42JGB2    | DELL     | POWEREDGE R630    | SERVER   | EVRACT14
                                    |              |            |             | 6ZTSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT15
                                    |              |            |             | 6ZVRN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT16
                                    |              |            |             | 6ZTQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT17
                                    |              |            |             | 6ZRRN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT18
                                    |              |            |             | 6ZQSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT19
                                    |              |            |             | 6ZNQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT20
                                    |              |            |             | 6ZNSN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT21
                                    |              |            |             | 6ZQQN23    | DELL     | POWEREDGE R640    | SERVER   | EVRACT22
 EVRACT7-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP5WK02     | HP5WK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT7
 EVRACT7-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP5WK02     | HP5WK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT7
 EVRACT8-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP5XK02     | HP5XK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT8
 EVRACT8-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP5XK02     | HP5XK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT8
 EVRACT9-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP6SK02     | HP6SK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT9
 EVRACT9-IDRAC.ITCS.PRIVATE         | 4/29/2014    | 4/28/2021  | HP6SK02     | HP6SK02    | DELL     | POWEREDGE R620    | SERVER   | EVRACT9
 EVSPLIDX01-IDRAC.ITCS.PRIVATE      | 7/14/2015    | 7/14/2019  | BVQDS52     | BVQDS52    | DELL     | POWEREDGE R630    | SERVER   | EVSPLIDX01
 EVSPLIDX02-IDRAC.ITCS.PRIVATE      | 7/14/2015    | 7/14/2019  | BVQCS52     | BVQCS52    | DELL     | POWEREDGE R630    | SERVER   | EVSPLIDX02
 EVSPLIDX03-IDRAC.ITCS.PRIVATE      | 7/14/2015    | 7/14/2020  | BVQFS52     | BVQFS52    | DELL     | POWEREDGE R630    | SERVER   | EVSPLIDX03
 EVSPLIDX04-IDRAC.ITCS.PRIVATE      | 7/29/2016    | 7/29/2021  | 7DWYPD2     | 7DWYPD2    | DELL     | POWEREDGE R630    | SERVER   | EVSPLIDX04
 SPL-PLH2.ITCS.PRIVATE              | 7/29/2016    | 7/29/2021  | 7DWZPD2     | 7DWZPD2    | DELL     | POWEREDGE R630    | SERVER   | EVSPLIDX05
 EVSPLIDX06-IDRAC.ITCS.PRIVATE      | 7/22/2018    | 7/21/2021  | HM0CXQ2     | HM0CXQ2    | DELL     | POWEREDGE R640    | SERVER   | EVSPLIDX06
 EVSPLIDX06-IDRAC.ITCS.PRIVATE      | 7/22/2018    | 7/21/2021  | HM0CXQ2     | HM0CXQ2    | DELL     | POWEREDGE R640    | SERVER   | EVSPLIDX06
                                    |              |            |             | H7R5XQ1    | DELL     | POWERVAULT MD1420 | SERVER   | EVSPLIDX06-DAS01
                                    |              |            |             | 92NZCS2    | DELL     | POWERVAULT MD1420 | SERVER   | EVSPLIDX06-DAS02
 EVSPLIDX07-IDRAC.ITCS.PRIVATE      | 7/22/2018    | 7/21/2021  | HM0DXQ2     | HM0DXQ2    | DELL     | POWEREDGE R640    | SERVER   | EVSPLIDX07
 EVSPLIDX07-IDRAC.ITCS.PRIVATE      | 7/22/2018    | 7/21/2021  | HM0DXQ2     | HM0DXQ2    | DELL     | POWEREDGE R640    | SERVER   | EVSPLIDX07
