                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 CHISILON03-N12                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700110                                                 | 0215.34
 CHISILON03-N13                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700133                                                 | 0215.34
 CHISILON03-N14                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700118                                                 | 0215.34
 CHISILON03-N15                       | STORAGE            | EMC               | ISILON X410                           | JWXYE172200115                                                 | 0215.32
 CHISILON03-N16                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700113                                                 | 0215.32
 CHISILON03-N17                       | STORAGE            | EMC               | ISILON X410                           | FCNYE181900002                                                 | 0215.35
 CHISILON03-N18                       | STORAGE            | EMC               | ISILON X410                           | FCNYE181900033                                                 | 0215.32
 CHISILON03-N2                        | STORAGE            | EMC               | ISILON X400                           | SN400-201433-0114                                              | 0215.33
 CHISILON03-N3                        | STORAGE            | EMC               | ISILON X400                           | SN400-201433-0116                                              | 0215.33
 CHISILON03-N4                        | STORAGE            | EMC               | ISILON X400                           | SN400-301524-0131                                              | 0215.33
 CHISILON03-N5                        | STORAGE            | EMC               | ISILON X400                           | SN400-301549-0035                                              | 0215.33
 CHISILON03-N6                        | STORAGE            | EMC               | ISILON X400                           | SN400-301601-0007                                              | 0215.35
 CHISILON03-N7                        | STORAGE            | EMC               | ISILON X400                           | SN400-301545-0012                                              | 0215.35
 CHISILON03-N8                        | STORAGE            | EMC               | ISILON X400                           | APMYE164800004                                                 | 0215.34
 CHISILON03-N9                        | STORAGE            | EMC               | ISILON X400                           | APMYE164800005                                                 | 0215.34
 CH-TAPE-LIBRARY-3576-E9U-CHASSIS     | STORAGE            | IBM               | TOTALSTORAGE TS3310 LIBRARY ENCLOSURE | 1384607                                                        | 0215.39
 CH-TAPE-LIBRARY-3576-L5B             | STORAGE            | IBM               | SYSTEM STORAGE TS3310                 | 1323470                                                        | 0215.39
 CH3700-COLLAB                        | STORAGE            | IBM               | STORWISE V3700                        | 7865679                                                        | 0215.24
 CH3700-COLLAB-CONTROL^^5439          | STORAGE            | IBM               | STORWISE V3700                        |                                                                | 
 CH5030-1-ENCL 2                      | STORAGE            | IBM               | STORWISE V5030                        | 781E970                                                        | 0215.39
 CH5030-1-ENCL 5                      | STORAGE            | IBM               | STORWISE V5030                        | 781F009                                                        | 0215.39
 CH5030-1-ENCL 6                      | STORAGE            | IBM               | STORWISE V5030                        | 781F023                                                        | 0215.39
 CH5030-1/ENCL 3                      | STORAGE            | IBM               | STORWISE V5030                        | 781F025                                                        | 0215.39
 CH5030-1/ENCL 4                      | STORAGE            | IBM               | STORWISE V5030                        | 781F085                                                        | 0215.39
 CH5030-1/ENCL 7                      | STORAGE            | IBM               | STORWISE V5030                        | 781F076                                                        | 0215.39
 CH5030-1MGMT                         | STORAGE            | IBM               | STORWISE V5030                        | 781E846                                                        | 0215.39
 STOREWIZE 1                          | STORAGE            | IBM               | STORWISE V3700                        | 787245                                                         | 0215.24
 STOREWIZE 2                          | STORAGE            | IBM               | STORWISE V3700                        | 7872454                                                        | 0215.24
 STOREWIZE 3                          | STORAGE            | IBM               | STORWISE V3700                        | 7872230                                                        | 0215.24
 STOREWIZE 4                          | STORAGE            | IBM               | STORWISE V3700                        | 7873409                                                        | 0215.24
 ERADS14                              | STORAGE            | LENOVO            | SYSTEM X3650 M5                       | J11ML7M                                                        | 0215.26
 CHISILON01-IB-1                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1314L00300                                                   | 0215.38
 CHISILON01-IB-2                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1314L00129                                                   | 0215.38
 CHISILON03-IB-1                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1411L00217                                                   | 0215.33
 CHISILON03-IB-2                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1411L00337                                                   | 0215.33
 KIS STORAGE 1                        | STORAGE            | NETAPP            | DS2240                                | SHJGD1812000362_AUDIT                                          | 0215.23
 KIS STORAGE 1^^6788                  | STORAGE            | NETAPP            | DS2240                                |                                                                | 
 KIS STORAGE 2                        | STORAGE            | NETAPP            | DS2120                                | SHJGD1812000362                                                | 0215.23
 KIS STORAGE 2^^6783                  | STORAGE            | NETAPP            | DS2120                                |                                                                | 
 NETAPP 10                            | STORAGE            | NETAPP            | DS2120                                | 031829000314                                                   | 0215.36
 NETAPP 11                            | STORAGE            | NETAPP            | DS2120                                | 031829001394                                                   | 0215.36
 NETAPP 12                            | STORAGE            | NETAPP            | DS2120                                | 031829000535                                                   | 0215.36
 NETAPP 20                            | STORAGE            | NETAPP            | DS2120                                | 031829000535                                                   | 0215.36
 NETAPP 21                            | STORAGE            | NETAPP            | DS2120                                | 031829001063                                                   | 0215.36
 NETAPP 22                            | STORAGE            | NETAPP            | DS2120                                | 031829001053                                                   | 0215.36
 NETAPP 9                             | STORAGE            | NETWORK APPLIANCE | AFF8020                               | 721901000158                                                   | 0215.36
 NIMBLE1                              | STORAGE            | NIMBLE STORAGE    | CS-220G                               | AF-122944                                                      | 0215.23
 NIMBLE1^^6786                        | STORAGE            | NIMBLE STORAGE    | CS-220G                               |                                                                | 
 NIMBLE2                              | STORAGE            | NIMBLE STORAGE    | CS-220G                               | AF-115970                                                      | 0215.23
 NIMBLE2^^6785                        | STORAGE            | NIMBLE STORAGE    | CS-220G                               |                                                                | 
 TS3310 LTO6 DRIVE 1                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO40916                                                     | 0215.39
 TS3310 LTO6 DRIVE 2                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO40931                                                     | 0215.39
 TS3310 LTO6 DRIVE 3                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO41050                                                     | 0215.39
 TS3310 LTO6 DRIVE 4                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO41059                                                     | 0215.39
 KIS CHDC UCS                         | UNKNOWN            | CISCO SYSTEMS     | UCS 5108                              | FOX2029GG5W                                                    | 0215.23
 KIS CHDC UCS^^6789                   | UNKNOWN            | CISCO SYSTEMS     | UCS 5108                              |                                                                | 
(284 rows)

