                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 CHDC-232-0215.38-ESW-1               | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451204                                                    | 0215.38
 CHDC-232-0215.38-ESW-2               | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12431682                                                    | 0215.38
 CHDC-232-021524-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12482234                                                    | 0215.24
 CHDC-232-021524-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12480400                                                    | 0215.24
 CHDC-232-021525-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12480396                                                    | 0215.25
 CHDC-232-021525-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12482247                                                    | 0215.25
 CHDC-232-021526-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530462                                                    | 0215.26
 CHDC-232-021526-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530431                                                    | 0215.26
 CHDC-232-021527-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE13030313                                                    | 0215.27
 CHDC-232-021527-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530439                                                    | 0215.27
 CHDC-232-021528-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451288                                                    | 0215.28
 CHDC-232-021528-ESW-1^^3824          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-1^^3825          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-1^^3826          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-1^^3827          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-1^^3828          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-1^^3829          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021528-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451162                                                    | 0215.28
 CHDC-232-021533-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12421103                                                    | 0215.33
 CHDC-232-021533-ESW-1-01^^5262       | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021533-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451174                                                    | 0215.33
 CHDC-232-021533-ESW-2-01^^5261       | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-232-021536-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.36
 CHDC-232-021536-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.36
 CHDC-232-021537-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.37
 CHDC-232-021540-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451273                                                    | 0215.40
 CHDC-232-021540-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451211                                                    | 0215.40
 CHDC-232-02157-ESW-2                 | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.37
 CHDC-232-021637-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0216.37
 CHDC-232-021637-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0216.37
 CHDC-232-215.29-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451214                                                    | 0215.29
 CHDC-232-215.29-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451296                                                    | 0215.29
 CHDC-232-215.30-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451170                                                    | 0215.30
 CHDC-232-215.30-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451302                                                    | 0215.30
 ABBT-234-021522-ESW-2-UP             | NETWORK SWITCH     | CISCO SYSTEMS     | CATALYST WS-C3850-24P                 | FOC1747X0UP                                                    | 0215.22
 KIS CHDC UCS ESW-1                   | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            | SSI201901VD                                                    | 0215.23
 KIS CHDC UCS ESW-1^^6790             | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            |                                                                | 
 KIS CHDC UCS ESW-2                   | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            | SSI201705R8                                                    | 0215.23
 KIS CHDC UCS ESW-2^^6791             | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            |                                                                | 
 ABBT-234-021518-FW-1-FM-01           | NETWORK SWITCH     | JUNIPER NETWORKS  | GATEWAY SSG 140                       | 0162012010001599                                               | 0215.36
 CHDC-232-021533-ESW-3                | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                | GX0212171630                                                   | 0215.33
 CHDC-232-021533-ESW-3-01^^5260       | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                |                                                                | 
 CHDC-232-021533-ESW-3^^5232-01^^5259 | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                |                                                                | 
 CHDC-232-021533-ESW-4                | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                | GX0214377870                                                   | 0215.33
 CHISILON_MELLANOX_215.33             | NETWORK SWITCH     | MELLANOX          | SX6506                                | MT1913W00001                                                   | 0215.33
 CHISILON_MELLANOX_215.34             | NETWORK SWITCH     | MELLANOX          | SX6506                                | MT1913W00002                                                   | 0215.34
 OPENGEAR                             | NETWORK SWITCH     | OPENGEAR          | CM 4148                               | 71160128151679                                                 | 0215.37
 KIS DISASTER RECOVERY                | SAN                | NETAPP            | FAS2650HA                             | SHJGD1812000362_AUDIT_                                         | 0215.23
