1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
37  EVDC-U34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530419                                  | U34     | ADMIN

38  EVDC-U34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030316                                  | U34     | ADMIN

39  EVDC-U39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451254                                  | U39     | ADMIN

40  EVDC-U39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451297                                  | U39     | ADMIN

41  EVDC-V34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530463                                  | V34     | ADMIN

42  EVDC-V34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530421                                  | V34     | ADMIN

43  EVDC-V39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12482230                                  | V39     | ADMIN

44  EVDC-V39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12480389                                  | V39     | ADMIN

45  2020RDG-IDF-Q39-ESW-1-01      | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | Q39     | ADMIN

46  2020RDG-IDF-Q39-ESW-1-02      | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | Q39     | ADMIN

47  2020RDG-IDF-R39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | R39     | ADMIN

48  2020RDG-IDF-S39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | S39     | ADMIN

49  2020RDG-IDF-S39-ESW-2         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | S39     | ADMIN

50  2020RDG-IDF-T39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | T39     | ADMIN

