 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00079273          | HRK7GK2           | PUR1167138 | PUR1167138 | HRK7GK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD37
                   |                   |            |            | 84VVFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD38
                   |                   |            |            | 84VTFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD39
                   |                   |            |            | 84VSFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD40
                   |                   |            |            | 84VWFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD41
                   |                   |            |            | 84VXFK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD42
                   |                   |            | PUR1001703 | HHXHHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD43
                   |                   |            | PUR1001703 | HHXVHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD44
 00080274          | 7Z01D42           | PUR0846848 | PUR0846848 | 7Z01D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD45
 00081521          | 7YZXC42           | PUR0846848 | PUR0846848 | 7YZXC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD46
 00081520          | 7YZ1D42           | PUR0846848 | PUR0846848 | 7YZ1D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD47
 N0031655          | 7ZS5D42           | PUR0849358 | PUR0846848 | 7ZS5D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD48
 00080273          | 7YZZC42           | PUR0846848 | PUR0846848 | 7YZZC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD49
 00080219          | 5XQ4V52           | PUR0886039 | PUR0886039 | 5XQ4V52                                      | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N02
 N0031698          | 5XQ5V52           | PUR0886039 | PUR0886039 | 5XQ5V52                                      | DELL          | POWEREDGE R730XD    | SERVER   | EVESXTNSC01N03
                   |                   |            | PUR1332017 | 12S3HQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVITCSPDC
 00088059          | 4GS9HQ2           | PUR1333389 | PUR1333389 | 4GS9HQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMS01
 00088060          | 4GRHHQ2           | PUR1333389 | PUR1333389 | 4GRHHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMS02
 00088058          | 4GSCHQ2           | PUR1333389 | PUR1333389 | 4GSCHQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVNBMSTR01
 00080199          | 7N98FB2           | PUR0974187 | PUR0974187 | 7N98FB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVPUMHOST
 00080323          | HP7YK02           | PUR0715639 | PUR0715639 | HP7YK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP10
                   |                   |            |            | 6ZSRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP11
                   |                   |            |            | 6ZSSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP12
                   |                   |            |            | 6ZRSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP13
                   |                   |            |            | 6ZVQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACP14
                   |                   |            | PUR0715639 | HP6TK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP6
 00080320          | HP9TK02           | PUR0715639 | PUR0715639 | HP9TK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP7
 00080321          | HP8XK02           | PUR0715639 | PUR0715639 | HP8XK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP8
                   |                   |            | PUR0715639 | HP6WK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACP9
