1              name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 
73  EVADSDC4                      | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-PMOET-IDENTITYSERVICES            | ELVIS MELENDEZ              | S34     | ADMIN

74  EVAIRWAVE                     | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN

75  EVAIRWAVE2.CI                 | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN

76  EVAIRWAVE3.CI                 | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                | CHRIS FABRI                 | S39     | ADMIN

77  EVCSPDPM01                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN

78  EVCSPDPM02                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | T34     | ADMIN

79  EVCSPDPM03                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN

80  EVCSPMBX01                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN

81  EVCSPMBX02                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN

82  EVCSPMBX03                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN

83  EVCSPMBX04                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN

84  EVCSPMBX05                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN

85  EVCSPMBX06                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN

86  EVCSPSFAST1                   | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | O34     | ADMIN

87  EVCSPSFAST2                   | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | O34     | ADMIN

88  EVCSPSSQL1                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | U34     | ADMIN

89  EVCSPSSQL2                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN

90  EVDSPDPM04                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | T34     | ADMIN

91  EVESX15                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN

92  EVESX16                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN

93  EVESX17                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN

94  EVESX18_CI                    | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN

95  EVESX43                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN

96  EVESX44                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN

97  EVESX70                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

98  EVESX71                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q39     | ADMIN

99  EVESX72                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q39     | ADMIN

100  EVESX73                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN

101  EVESX74                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

102  EVESX75                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

103  EVESX76                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN

104  EVESX77                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN

105  EVESX82                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

106  EVESX83                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

107  EVESX84                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

108  EVESX85                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

109  EVESX86                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

110  EVESX87                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN

111  EVESXC01N01                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN

112  EVESXC01N02                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN

113  EVESXC01N03                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN

114  EVESXC01N04                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN

115  EVESXC01N05                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN

116  EVESXC01N06                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN

117  EVESXC01N07                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN

118  EVESXC01N08                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN

119  EVESXC02N01-U39               | DELL             | SERVER            | POWEREDGE R640          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

120  EVESXC02N02-U39               | DELL             | SERVER            | POWEREDGE R640          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN

121  EVESXC0307N-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN

122  EVESXC03N01-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

123  EVESXC03N02-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

124  EVESXC03N03-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN

125  EVESXC03N04-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN

126  EVESXC03N05-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN

127  EVESXC03N06-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN

