             name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 
 2020RDG-IDF-R39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | R39     | ADMIN
 2020RDG-IDF-S39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN
 2020RDG-IDF-S39-ESW-2         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN
 2020RDG-IDF-T39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T39     | ADMIN
 2020RDG-IDF-T39-ESW-2         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T39     | ADMIN
 2020RDG-IDF-T34-ESW-2-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN
 2020RDG-IDF-W34-ESW-1-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN
 2020RDG-IDF-W34-ESW-2-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN
 EVDC-Q34-ESW-3                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q34     | ADMIN
 EVDC-Q34-ESW-4                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q34     | ADMIN
 EVDC-T43-ESW-3                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | NT                       | NUIT-CI-TNS-DATANETWORK                |                             | T43     | ADMIN
 EVDC-T43-ESW-4                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | NT                       | NUIT-CI-TNS-DATANETWORK                |                             | T43     | ADMIN
 EV-UCESX01                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN
 EV-UCESX02                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN
 EV-UCESX03                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN
 EV-UCESX04                    | CISCO SYSTEMS    | SERVER            | UCS C240 M3             |          | NT                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN
 EV-UCESX05                    | CISCO SYSTEMS    | SERVER            | UCS C240 M3             |          | NT                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN
 BACKUP1                       | CODE42           | SERVER            | M1                      |          | SO                       | NUIT-TSS-SUPPORTSERVICES               |                             | T39     | ADMIN
 ALPS.LIBRARY.NORTHWESTERN.EDU | DELL             | SERVER            | R730                    |          | PIPS                     | LIBRARY                                | BOB TRAUTVETTER             | R39     | ADMIN
 ANSEL                         | DELL             | SERVER            | POWEREDGE R610          |          | PIPS                     | LIBRARY                                | BOB TRAUTVETTER             | Q39     | ADMIN
 AVALON                        | DELL             | SERVER            | POWEREDGE R620          |          | SO                       | LIBRARY                                | BOB TRAUTVETTER             | R39     | ADMIN
 BIGBEND                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S34     | ADMIN
 COIPROD                       | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN
 COIPRODDATA                   | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN
 COITEST                       | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN
 COITESTDATA                   | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN
 ERATABLEAU                    | DELL             | SERVER            | POWEREDGE 1750          |          | PIPS                     | NUIT-PMOET-IDENTITYSERVICES            |                             | U39     | ADMIN
 EVADSDC4                      | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-PMOET-IDENTITYSERVICES            | ELVIS MELENDEZ              | S34     | ADMIN
 EVAIRWAVE                     | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN
 EVAIRWAVE2.CI                 | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN
 EVAIRWAVE3.CI                 | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                | CHRIS FABRI                 | S39     | ADMIN
 EVCSPDPM01                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN
 EVCSPDPM02                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | T34     | ADMIN
 EVCSPDPM03                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN
 EVCSPMBX01                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN
 EVCSPMBX02                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN
 EVCSPMBX03                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN
 EVCSPMBX04                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN
 EVCSPMBX05                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN
 EVCSPMBX06                    | DELL             | SERVER            | POWEREDGE R720          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | P34     | ADMIN
 EVCSPSFAST1                   | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | O34     | ADMIN
 EVCSPSFAST2                   | DELL             | SERVER            | POWEREDGE R720XD        |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | O34     | ADMIN
 EVCSPSSQL1                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | U34     | ADMIN
 EVCSPSSQL2                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | R34     | ADMIN
 EVDSPDPM04                    | DELL             | SERVER            | POWEREDGE R710          |          | PIPS                     | NUIT-CI-COLLABORATIONSERVICES          |                             | T34     | ADMIN
 EVESX15                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN
 EVESX16                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN
 EVESX17                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN
 EVESX18_CI                    | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN
 EVESX43                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN
 EVESX44                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | R39     | ADMIN
 EVESX70                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESX71                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q39     | ADMIN
 EVESX72                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q39     | ADMIN
 EVESX73                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN
 EVESX74                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESX75                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESX76                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESX77                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S39     | ADMIN
 EVESX82                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESX83                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESX84                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESX85                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESX86                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESX87                       | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESXC01N01                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN
 EVESXC01N02                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN
 EVESXC01N03                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN
 EVESXC01N04                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | Q39     | ADMIN
 EVESXC01N05                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN
 EVESXC01N06                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN
 EVESXC01N07                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN
 EVESXC01N08                   | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | STEVE KWAK                  | T39     | ADMIN
 EVESXC02N01-U39               | DELL             | SERVER            | POWEREDGE R640          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXC02N02-U39               | DELL             | SERVER            | POWEREDGE R640          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXC0307N-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN
 EVESXC03N01-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC03N02-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC03N03-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC03N04-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN
 EVESXC03N05-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN
 EVESXC03N06-P39               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | P39     | ADMIN
 EVESXC04N01-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC04N02-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC04N03-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC04N04-V34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXC04N05-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXC04N06-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXC04N07-Q34               | DELL             | SERVER            | POWEREDGE R640          | LGC813   | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD31                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD32                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD33                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD34                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD35                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD36                  | DELL             | SERVER            | POWEREDGE R630          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | BRAD PRILLER                | U39     | ADMIN
 EVESXCLOUD37                  | DELL             | SERVER            | POWEREDGE R630          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | BRAD PRILLER                | U39     | ADMIN
 EVESXCLOUD38                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXCLOUD39                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXCLOUD40                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXCLOUD41                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXCLOUD42                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | U39     | ADMIN
 EVESXCLOUD43                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESXCLOUD44                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | T34     | ADMIN
 EVESXCLOUD45                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD46                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD47                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | Q34     | ADMIN
 EVESXCLOUD48                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | O34     | ADMIN
 EVESXCLOUD49                  | DELL             | SERVER            | POWEREDGE R630          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V34     | ADMIN
 EVESXTNSC01N02                | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                | CHRIS FABRI                 | S39     | ADMIN
 EVESXTNSC01N03                | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | NUIT-CI-TNS-DATANETWORK                | CHRIS FABRI                 | S39     | ADMIN
 EVITCSPDC                     | DELL             | SERVER            | POWEREDGE R640          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            | KEN TURNER                  | R39     | ADMIN
 EVNBMS01                      | DELL             | SERVER            | POWEREDGE R640          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | KEN TURNER                  | S34     | ADMIN
 EVNBMS02                      | DELL             | SERVER            | POWEREDGE R640          |          | SO                       | NUIT-CI-PIPS-INFRASTRUCTURE            | KEN TURNER                  | S34     | ADMIN
