1                  name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
132  CHRACS13                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPQN23                                                        | 0215.27

133  CHRACS14                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZNRN23                                                        | 0215.27

134  CHRACS5                              | SERVER             | DELL              | POWEREDGE R620                        | D347P22                                                        | 0215.27

135  CHRACS6                              | SERVER             | DELL              | POWEREDGE R620                        | D356P22                                                        | 0215.27

136  CHRACS7                              | SERVER             | DELL              | POWEREDGE R620                        | D364P22                                                        | 0215.27

137  CHRACS8                              | SERVER             | DELL              | POWEREDGE R620                        | D346P22                                                        | 0215.27

138  CHRACS9                              | SERVER             | DELL              | POWEREDGE R620                        | D344P22                                                        | 0215.27

139  CHSPLIDX02                           | SERVER             | DELL              | POWEREDGE R630                        | BYQHS52                                                        | 0215.24

140  CHSPLIDX03                           | SERVER             | DELL              | POWEREDGE R630                        | BVQGS52                                                        | 0215.24

141  CHSPLIDX04                           | SERVER             | DELL              | POWEREDGE R620                        | 7DXOQD2                                                        | 0215.25

142  CHSPLIDX05                           | SERVER             | DELL              | POWEREDGE R630                        | 7DWXPD2                                                        | 0215.25

143  CHSPLSRC01                           | SERVER             | DELL              | POWEREDGE R630                        | BYPKS52                                                        | 0215.24

144  CHVMBKUP01                           | SERVER             | DELL              | POWEREDGE R610                        | 6MWJKS1                                                        | 0215.29

145  CHVMBKUP01A                          | SERVER             | DELL              | POWEREDGE R630                        | 8WYYHK2                                                        | 0215.26

146  CHVSRX01                             | SERVER             | DELL              | POWEREDGE R630                        | HHPGHB2                                                        | 0215.27

147  CHVSRX02                             | SERVER             | DELL              | POWEREDGE R630                        | HHPFHB2                                                        | 0215.27

148  DKCRTL1                              | SERVER             | DELL              | POWEREDGE R710                        |                                                                | 0215.23

149  FM MILLENNIUM GTWY                   | SERVER             | DELL              | POWEREDGE R210                        | 9893JM1                                                        | 0215.36

150  KIS_DR-R730                          | SERVER             | DELL              | POWEREDGE R730                        | GL3CND2                                                        | 0215.23

151  KIS_DR-R730^^6782                    | SERVER             | DELL              | POWEREDGE R730                        |                                                                | 

152  LSTFUSION                            | SERVER             | DELL              | POWEREDGE R320                        | JD61TW1                                                        | 0215.36

153  CCM CHICAGO NSM 1                    | SERVER             | PELCO             | NSM5200                               | ACVYZM0                                                        | 0215.22

154  CH GARAGE 1                          | SERVER             | PELCO             | NSM5200                               | ACHNG78                                                        | 0215.22

155  CH GARAGE 2                          | SERVER             | PELCO             | NSM5200                               | ACHNG81                                                        | 0215.22

156  CH GARAGE 3                          | SERVER             | PELCO             | NSM5200                               | ABRUU18                                                        | 0215.22

157  CH GARAGE 4                          | SERVER             | PELCO             | NSM5200                               | ACHNG79                                                        | 0215.22

158  CHICAGO CAMPUS NSM 1                 | SERVER             | PELCO             | NSM5200                               | ACHNGD8                                                        | 0215.22

159  GARAGE ELE                           | SERVER             | PELCO             | NSM5200                               | AEHVQZ3                                                        | 0215.22

160  NSM 0                                | SERVER             | PELCO             | SM5200                                | 3HQBHQ2                                                        | 0215.22

161  NSM 1                                | SERVER             | PELCO             | SM5200                                | 3HPFHQ2                                                        | 0215.22

162  NSM 2                                | SERVER             | PELCO             | SM5200                                | 3HQDHQ2                                                        | 0215.22

163  NSM 3                                | SERVER             | PELCO             | SM5200                                | 5ZDZXM2                                                        | 0215.22

164  QUALYS_CHICAGO                       | SERVER APPLIANCES  | QUALYS            | QUALYSGUARD                           | 1449208365                                                     | 0216.38

165  CHCSPDPM-DAS01A                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 7XL92R1                                                        | 0215.25

166  CHCSPDPM-DAS01B                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 9XL92R1                                                        | 0215.25

167  CHCSPDPM-DAS01C                      | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5ZLS1                                                        | 0215.25

168  CHCSPDPM-DAS02A                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 8XL92R1                                                        | 0215.28

169  CHCSPDPM-DAS02B                      | STORAGE            | DELL              | POWERVAULT MD1200                     | 6XL92R1                                                        | 0215.28

170  CHCSPDPM-DAS02C                      | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5YLS1                                                        | 0215.28

171  CHCSPDPM04-DAS04A                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY6WLS1                                                        | 0215.28

172  CHCSPDPM04-DAS04B                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY5WLS1                                                        | 0215.28

173  CHCSPDPM04-DAS04C                    | STORAGE            | DELL              | POWERVAULT MD1220                     | H4QKKS1                                                        | 0215.28

174  CHCSPDPM04-DAS04D                    | STORAGE            | DELL              | POWERVAULT MD1220                     | GY6SLS1                                                        | 0215.28

175  CHCSPMBX                             | STORAGE            | DELL              | POWEREDGE R710                        | JHPWNN1                                                        | 0215.25

176  CHCSPMBX01-DAS01A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJWGX1                                                        | 0215.30

177  CHCSPMBX01-DAS01B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJVGX1                                                        | 0215.30

178  CHCSPMBX01-DAS01C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CJTGX1                                                        | 0215.30

179  CHCSPMBX02-DAS02B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CCWGX1                                                        | 0215.30

180  CHCSPMBX02-DAS02C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CFTGX1                                                        | 0215.30

181  CHCSPMBX03-DAS03A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDTGX1                                                        | 0215.30

182  CHCSPMBX03-DAS03AA                   | STORAGE            | DELL              | POWEREDGE R710                        | 3CDIGX1                                                        | 0215.29

183  CHCSPMBX03-DAS03B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDWGX1                                                        | 0215.29

184  CHCSPMBX03-DAS03C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CHWGX1                                                        | 0215.29

185  CHCSPMBX04-DAS04A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CGTGX1                                                        | 0215.29

186  CHCSPMBX04-DAS04B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDVGX1                                                        | 0215.29

187  CHCSPMBX04-DAS04C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CFVGX1                                                        | 0215.29

188  CHCSPMBX05-DAS05A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFLV12                                                        | 0215.29

189  CHCSPMBX05-DAS05B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFKV12                                                        | 0215.29

190  CHCSPMBX05-DAS05C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGKV12                                                        | 0215.29

191  CHCSPMBX06-DAS06A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFMV12                                                        | 0215.30

