IP	Name	Module_num	Model	Serial	Software	firmware	memory	HW	Last Seen	Module ip	
129.105.254.200	2251shdn-attic-esw-2	1	WS-C3850-24P-L	FOC1748Y0L7	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.200	2251shdn-attic-esw-2	2	WS-C3850-48P-L	FOC1819X055	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.155	2303shdn-b-esw-1	0	3750-stack	FDO1529P060	15.0(2)SE		0		4/27/20 1:00	0.0.0.0	
129.105.254.155	2303shdn-b-esw-1	1	WS-C3750X-48P	FDO1529P060	15.0(2)SE		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.155	2303shdn-b-esw-1	2	WS-C3750X-48P	FDO1630R00W	15.0(2)SE		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.155	2303shdn-b-esw-1	3	WS-C3750X-48P	FDO1629R4QV	15.0(2)SE		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.155	2303shdn-b-esw-1	4	WS-C3750X-24P	FDO1639Z0HB	15.0(2)SE		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.201	2307shdn-b-esw-1	0	3750-stack	FDO1648P0ZR	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.201	2307shdn-b-esw-1	1	WS-C3750X-48P	FDO1648P0ZR	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.201	2307shdn-b-esw-1	2	WS-C3750X-24P	FDO1642P18J	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
10.100.14.77	2325shdn-b-esw-1	0	WS-C3850-48P-L	FOC2220X02K	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
129.105.254.145	2335shdn-b-esw-1	0	3850-stack	FOC1823U0P7	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
129.105.254.145	2335shdn-b-esw-1	1	WS-C3850-48P-L	FOC1823U0P7	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.145	2335shdn-b-esw-1	2	WS-C3850-48P-L	FOC1823X0NS	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.202	2339shdn-b-esw-1	0	WS-C3750X-48P	FDO1650R1NK	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.204	2341shdn-b-esw-1	0	WS-C3750X-48P	FDO1650R1Q0	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.147	bobb-2a-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.147	bobb-2a-esw-1	1	WS-C3750X-48P	FDO1649H25Z	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.147	bobb-2a-esw-1	2	WS-C3750X-24P	FDO1628Z1CB	15.0(2)SE2		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.151	bobb-2b-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.151	bobb-2b-esw-1	1	WS-C3750X-48P	FDO1635X0ZM	15.0(2)SE2		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.151	bobb-2b-esw-1	2	WS-C3750X-24P	FDO1628V1DF	15.0(2)SE2		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.149	bobb-4a-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.149	bobb-4a-esw-1	1	WS-C3750X-48P	FDO1631Z1G2	15.0(2)SE2		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.149	bobb-4a-esw-1	2	WS-C3750X-48P	FDO1635R2DS	15.0(2)SE2		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.153	bobb-4b-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.153	bobb-4b-esw-1	1	WS-C3750X-48P	FDO1648Z1FT	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.153	bobb-4b-esw-1	2	WS-C3750X-24P	FDO1642P16B	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.146	bobb-b-esw-2	0	WS-C3750X-48P	FDO1648R0UP	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	0	3750-stack	FDO1522R16P	15.0(2)SE8		0		4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	1	WS-C3750X-48P	FDO1650X1FN	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	2	WS-C3750X-48P	FDO1648Z1DU	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	3	WS-C3750X-48P	FDO1701P08J	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	4	WS-C3750X-48P	FDO1650X1HZ	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	5	WS-C3750X-48P	FDO1650Z1CS	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	6	WS-C3750X-48P	FDO1525K0RQ	15.0(2)SE8		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	7	WS-C3750X-48P	FDO1649X36U	15.0(2)SE8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.191	slivka-idf-esw-1	8	WS-C3750X-24P	FDO1522R16P	15.0(2)SE8		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.50	640lcln-b-esw-1	0	3850-stack	FOC1748Y33N	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.50	640lcln-b-esw-1	1	WS-C3850-48P-L	FOC1748Y33N	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.50	640lcln-b-esw-1	2	WS-C3850-48P-L	FCW1820C0GF	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
10.100.14.15	616nys-b-esw-1	0	3850-stack	FOC1925X14P	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.15	616nys-b-esw-1	1	WS-C3850-48P-L	FCW1925D0TH	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.14.15	616nys-b-esw-1	2	WS-C3850-48P-L	FOC1925X14P	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.14.34	617dart-b-esw-1	0	3850-stack	FOC2142U1LU	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.34	617dart-b-esw-1	1	WS-C3850-48P-L	FCW2142D1XM	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.34	617dart-b-esw-1	2	WS-C3850-48P-L	FOC2142U1LU	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.16	617hvn-b-esw-1	0	WS-C3850-48P-L	FOC1931U1FP	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.14.35	617nys-b-esw-1	0	WS-C3850-48P-L	FOC1740U009	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.14	619clfx-b-esw-1	0	WS-C3750X-48P	FDO1629R4PZ	15.2(4)E6		0	V03	4/27/20 1:00	0.0.0.0	
10.100.14.17	625clfx-b-esw-1	0	3850-stack	0x12	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.17	625clfx-b-esw-1	1	WS-C3850-48P-L	FOC2225L1DX	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.17	625clfx-b-esw-1	2	WS-C3850-48P-L	FOC2225L022	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.18	625hvn-b-esw-1	0	WS-C3850-48P-L	FOC1835X0KA	Denali 16.3.9		0	V04	4/27/20 1:00	0.0.0.0	
10.100.14.36	625nys-b-esw-1	0	WS-C3850-48P-L	FCW2142D1YY	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.19	627dart-b-esw-1	0	WS-C3850-48P-L	FOC1739U0Y5	Denali 16.3.8		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.20	629nys-b-esw-1	0	WS-C3850-48P-L	FOC1739U0XU	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.21	630dart-b-esw-1	0	3850-stack	FCW1926D144	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.21	630dart-b-esw-1	1	WS-C3850-48P-L	FCW1926D144	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.14.21	630dart-b-esw-1	2	WS-C3850-48P-L	FCW1923D12W	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.14.37	630lcln-b-esw-1	0	3850-stack	FCW2142F1FN	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.37	630lcln-b-esw-1	1	WS-C3850-48P-L	FCW2209D11G	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.37	630lcln-b-esw-1	2	WS-C3850-48P-L	FOC2209U16N	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.14.37	630lcln-b-esw-1	3	WS-C3850-48P-L	FCW2142F1FN	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	0	3850-stack	FCW1823C0PC	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	1	WS-C3850-48P-L	FOC1801Y670	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	2	WS-C3850-48P-L	FCW1820C0GE	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	3	WS-C3850-48P-L	FCW1823C0PC	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	4	WS-C3850-48P-L	FOC1823U103	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	5	WS-C3850-48P-L	FOC2044X0XJ	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	6	WS-C3850-48P-L	FCW1832C1CL	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	7	WS-C3850-48P-L	FOC1748X0LK	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	8	WS-C3850-48P-L	FOC1901U19G	Denali 16.3.9		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.148	ngarage-1288-esw-1	9	WS-C3850-48P-L	FOC1925U11A	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
129.105.254.150	ngarage-4200-esw-1	0	WS-C3850-48P-L	FOC1828X0TH	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.152	ngarage-4501-esw-1	0	WS-C3850-24P-L	FOC1748X0EP	Denali 16.3.9		0	V02	4/27/20 1:00	0.0.0.0	
